sno,sna,sarea,lng,lat,2018/8/1-7,2018/8/1-8  ,2018/8/1-9  ,2018/8/1-10  ,2018/8/1-11,2018/8/1-12,2018/8/1-13,2018/8/1-14,2018/8/1-15,2018/8/1-16,2018/8/1-17,2018/8/1-18,2018/8/1-19,2018/8/1-20,2018/8/1-21,2018/8/1-22,2018/8/1-23,2018/8/1-24,2018/8/2-7,2018/8/2-8,2018/8/2-9,2018/8/2-10,2018/8/2-11,2018/8/2-12,2018/8/2-13,2018/8/2-14,2018/8/2-15,2018/8/2-16,2018/8/2-17,2018/8/2-18,2018/8/2-19,2018/8/2-20,2018/8/2-21,2018/8/2-22,2018/8/2-23,2018/8/2-24,2018/8/3-7,2018/8/3-8,2018/8/3-9,2018/8/3-10,2018/8/3-11,2018/8/3-12,2018/8/3-13,2018/8/3-14,2018/8/3-15,2018/8/3-16,2018/8/3-17,2018/8/3-18,2018/8/3-19,2018/8/3-20,2018/8/3-21,2018/8/3-22,2018/8/3-23,2018/8/3-24,2018/8/4-7,2018/8/4-8,2018/8/4-9,2018/8/4-10,2018/8/4-11,2018/8/4-12,2018/8/4-13,2018/8/4-14,2018/8/4-15,2018/8/4-16,2018/8/4-17,2018/8/4-18,2018/8/4-19,2018/8/4-20,2018/8/4-21,2018/8/4-22,2018/8/4-23,2018/8/4-24,2018/8/5-7,2018/8/5-8,2018/8/5-9,2018/8/5-10,2018/8/5-11,2018/8/5-12,2018/8/5-13,2018/8/5-14,2018/8/5-15,2018/8/5-16,2018/8/5-17,2018/8/5-18,2018/8/5-19,2018/8/5-20,2018/8/5-21,2018/8/5-22,2018/8/5-23,2018/8/5-24,2018/8/6-7,2018/8/6-8,2018/8/6-9,2018/8/6-10,2018/8/6-11,2018/8/6-12,2018/8/6-13,2018/8/6-14,2018/8/6-15,2018/8/6-16,2018/8/6-17,2018/8/6-18,2018/8/6-19,2018/8/6-20,2018/8/6-21,2018/8/6-22,2018/8/6-23,2018/8/6-24,2018/8/7-7,2018/8/7-8,2018/8/7-9,2018/8/7-10,2018/8/7-11,2018/8/7-12,2018/8/7-13,2018/8/7-14,2018/8/7-15,2018/8/7-16,2018/8/7-17,2018/8/7-18,2018/8/7-19,2018/8/7-20,2018/8/7-21,2018/8/7-22,2018/8/7-23,2018/8/7-24
11,三張犁,信義區,121.55762,25.034937,47,15,2,2,3,5,8,2,11,17,15,15,27,36,28,38,49,53,56,15,14,5,1,1,9,7,9,7,3,18,18,32,21,39,52,58,59,8,20,17,16,10,9,9,12,10,12,15,7,18,7,26,42,48,40,36,13,10,6,15,9,22,22,19,4,13,22,32,33,30,45,51,49,26,37,31,22,22,12,9,11,8,16,13,17,16,15,16,35,42,57,23,11,10,10,9,19,15,15,10,15,24,6,15,39,50,54,59,57,29,8,10,7,10,7,0,11,18,12,8,5,14,24,40,50,54
12,臺北醫學大學,信義區,121.561747,25.026679,5,21,25,21,19,15,11,7,16,15,0,3,32,28,38,39,21,33,14,17,20,17,15,13,11,23,30,38,7,33,35,44,30,26,34,41,22,34,23,24,28,39,39,36,38,34,23,13,7,8,15,12,24,27,9,14,42,29,33,28,19,11,17,23,1,6,1,13,7,9,17,23,11,19,16,21,11,11,21,8,8,11,9,5,1,3,8,10,13,24,13,18,13,13,18,20,22,26,26,44,31,15,7,20,4,3,7,15,15,28,22,25,16,17,16,28,32,43,26,6,16,26,15,28,29,33
13,福德公園,信義區,121.58367,25.03809,35,26,9,20,24,24,23,19,15,14,15,19,38,18,25,20,40,46,22,37,34,25,13,6,14,17,12,11,14,18,28,39,5,24,45,20,27,15,20,38,36,34,31,26,20,22,25,25,25,30,12,21,40,28,32,23,30,30,35,31,28,23,26,30,22,16,17,17,17,13,34,24,26,49,46,43,38,38,36,34,25,26,22,0,4,11,28,21,36,21,19,35,7,19,17,26,29,24,29,25,30,23,48,11,25,20,32,26,28,21,24,13,48,43,39,35,36,31,27,35,38,27,34,24,35,24
14,榮星花園,中山區,121.54037,25.06424,12,25,18,9,1,3,4,2,0,0,5,5,2,7,14,19,29,21,20,14,11,0,5,10,4,1,2,1,3,30,13,14,20,25,20,5,23,22,16,14,10,5,9,9,9,6,12,6,19,8,2,4,13,27,27,18,21,21,17,9,3,0,0,4,4,5,16,0,0,30,17,29,24,21,22,13,13,13,10,6,11,6,6,9,23,4,12,25,7,26,12,23,18,7,8,8,9,5,0,5,2,8,5,32,13,24,9,23,14,23,21,18,16,13,16,12,9,11,6,18,8,6,26,9,30,26
15,饒河夜市,松山區,121.571885,25.049845,42,33,26,20,12,8,7,5,23,27,27,18,13,28,36,50,54,45,36,27,26,30,20,17,18,17,23,26,20,26,34,36,44,51,46,54,39,23,26,23,17,15,16,18,21,20,16,15,18,30,28,32,43,46,40,39,44,42,43,36,27,34,35,26,31,32,34,36,26,27,31,21,40,36,32,35,35,35,40,33,32,31,26,35,30,32,36,33,40,45,42,32,36,29,26,25,27,32,16,19,17,16,16,40,32,38,44,49,42,15,22,23,22,17,13,10,14,15,17,15,30,45,42,53,50,52
16,松山家商,信義區,121.579135,25.036084,26,31,28,28,19,14,7,3,12,0,6,5,6,22,22,30,39,33,17,17,16,14,11,7,8,21,18,10,1,15,21,20,29,12,26,30,24,21,18,19,11,10,4,6,10,4,3,5,2,9,12,20,29,34,20,23,24,28,26,23,16,10,11,6,0,5,5,5,13,9,22,26,25,20,16,13,8,8,9,6,7,9,1,5,5,5,13,23,42,42,33,44,33,36,30,27,27,24,21,1,2,7,6,17,22,28,34,38,33,46,27,32,25,20,29,35,32,24,5,5,2,15,20,35,39,36
17,民生光復路口,松山區,121.55514,25.05862,2,9,27,18,20,13,4,14,18,12,3,8,1,3,0,1,2,4,9,12,17,17,17,7,5,10,15,15,18,9,1,2,11,12,10,11,5,13,8,13,12,9,8,17,13,14,28,20,11,30,17,16,19,27,19,17,21,29,28,24,24,17,17,18,14,13,23,24,15,8,8,16,18,15,13,8,16,16,18,20,23,23,30,29,27,30,17,17,20,25,14,29,21,13,17,17,7,12,12,5,16,23,18,25,20,21,24,28,8,14,26,14,13,9,14,12,10,7,14,11,12,9,8,5,7,7
18,臺北市藝文推廣處,松山區,121.552278,25.048268,17,18,10,17,10,12,6,3,2,3,7,14,24,21,24,10,3,8,9,1,1,4,3,8,21,12,3,5,8,25,25,28,11,3,5,8,17,15,15,17,17,18,17,13,14,12,8,9,7,10,5,3,11,15,19,23,24,35,17,21,20,18,17,16,4,16,22,10,10,11,16,10,20,26,20,11,24,24,16,17,35,35,21,17,17,18,19,11,12,15,15,14,6,30,28,15,12,22,20,20,10,29,19,12,14,8,12,15,12,14,11,10,11,6,5,15,21,17,28,22,29,37,22,14,12,11
19,象山公園,信義區,121.56981,25.02863,23,4,18,18,26,16,10,19,22,29,25,3,6,6,0,9,1,9,5,29,15,10,21,11,13,2,13,15,18,1,3,2,5,5,4,6,12,19,16,17,17,12,2,14,16,17,11,19,11,2,9,12,15,3,13,19,16,23,26,23,28,17,18,13,14,7,0,14,21,11,9,14,13,20,14,16,17,17,6,0,3,25,21,26,21,8,24,18,5,2,9,5,25,14,22,19,20,28,21,21,15,15,17,5,13,8,4,1,5,9,25,16,27,0,4,10,11,10,10,12,8,1,0,2,7,2
20,捷運科技大樓站,大安區,121.543293,25.025896,52,50,4,6,0,22,18,3,27,24,24,1,0,12,4,2,17,42,33,9,10,0,13,34,29,24,19,6,5,5,3,2,5,3,0,22,49,45,17,0,26,31,34,35,53,57,28,40,35,34,33,47,47,45,55,62,57,50,60,69,50,56,40,37,31,35,46,49,37,27,18,23,45,46,21,31,41,41,33,39,26,19,52,40,25,40,65,57,59,40,59,52,5,38,7,31,45,50,41,51,50,44,21,6,22,10,31,32,66,59,23,0,7,33,31,36,15,16,17,28,1,1,9,23,27,29
