sno,sna,sarea,lng,lat,2018/8/1-7,2018/8/1-8  ,2018/8/1-9  ,2018/8/1-10  ,2018/8/1-11,2018/8/1-12,2018/8/1-13,2018/8/1-14,2018/8/1-15,2018/8/1-16,2018/8/1-17,2018/8/1-18,2018/8/1-19,2018/8/1-20,2018/8/1-21,2018/8/1-22,2018/8/1-23,2018/8/1-24,2018/8/2-7,2018/8/2-8,2018/8/2-9,2018/8/2-10,2018/8/2-11,2018/8/2-12,2018/8/2-13,2018/8/2-14,2018/8/2-15,2018/8/2-16,2018/8/2-17,2018/8/2-18,2018/8/2-19,2018/8/2-20,2018/8/2-21,2018/8/2-22,2018/8/2-23,2018/8/2-24,2018/8/3-7,2018/8/3-8,2018/8/3-9,2018/8/3-10,2018/8/3-11,2018/8/3-12,2018/8/3-13,2018/8/3-14,2018/8/3-15,2018/8/3-16,2018/8/3-17,2018/8/3-18,2018/8/3-19,2018/8/3-20,2018/8/3-21,2018/8/3-22,2018/8/3-23,2018/8/3-24,2018/8/4-7,2018/8/4-8,2018/8/4-9,2018/8/4-10,2018/8/4-11,2018/8/4-12,,,,,,,,,,,,,,,,,,,,,,,
16,松山家商,信義區,121.579135,25.036084,26,31,28,28,19,14,7,3,12,0,6,5,6,22,22,30,39,33,17,17,16,14,11,7,8,21,18,10,1,15,21,20,29,12,26,30,24,21,18,19,11,10,4,6,10,4,3,5,2,9,12,20,29,34,20,23,24,28,26,23,,,,,,,,,,,,,,,,,,,,,,,
17,民生光復路口,松山區,121.55514,25.05862,2,9,27,18,20,13,4,14,18,12,3,8,1,3,0,1,2,4,9,12,17,17,17,7,5,10,15,15,18,9,1,2,11,12,10,11,5,13,8,13,12,9,8,17,13,14,28,20,11,30,17,16,19,27,19,17,21,29,28,24,,,,,,,,,,,,,,,,,,,,,,,
18,臺北市藝文推廣處,松山區,121.552278,25.048268,17,18,10,17,10,12,6,3,2,3,7,14,24,21,24,10,3,8,9,1,1,4,3,8,21,12,3,5,8,25,25,28,11,3,5,8,17,15,15,17,17,18,17,13,14,12,8,9,7,10,5,3,11,15,19,23,24,35,17,21,,,,,,,,,,,,,,,,,,,,,,,
19,象山公園,信義區,121.56981,25.02863,23,4,18,18,26,16,10,19,22,29,25,3,6,6,0,9,1,9,5,29,15,10,21,11,13,2,13,15,18,1,3,2,5,5,4,6,12,19,16,17,17,12,2,14,16,17,11,19,11,2,9,12,15,3,13,19,16,23,26,23,,,,,,,,,,,,,,,,,,,,,,,
20,捷運科技大樓站,大安區,121.543293,25.025896,52,50,4,6,0,22,18,3,27,24,24,1,0,12,4,2,17,42,33,9,10,0,13,34,29,24,19,6,5,5,3,2,5,3,0,22,49,45,17,0,26,31,34,35,53,57,28,40,35,34,33,47,47,45,55,62,57,50,60,69,,,,,,,,,,,,,,,,,,,,,,,
21,民生敦化路口,松山區,121.548982,25.057985,11,30,37,44,57,48,50,47,36,48,48,37,37,8,0,0,0,0,12,25,28,46,31,31,28,33,28,36,20,4,37,16,2,1,0,7,11,4,32,44,10,31,26,29,34,40,40,56,54,35,34,27,17,12,8,4,15,24,24,28,,,,,,,,,,,,,,,,,,,,,,,
22,松山車站,信義區,121.57845,25.048824,27,25,22,26,28,25,28,29,14,7,13,1,26,23,44,25,7,0,33,7,8,11,29,20,30,27,21,23,19,30,30,33,34,21,1,11,22,4,5,4,17,22,27,16,15,11,9,15,8,30,42,19,1,3,19,28,25,39,28,38,,,,,,,,,,,,,,,,,,,,,,,
23,東新國小,南港區,121.602798,25.055074,17,22,17,11,11,8,6,4,3,3,3,1,10,15,5,8,16,22,20,20,20,13,11,11,12,15,7,8,5,11,12,19,9,13,27,19,20,26,15,13,8,8,3,2,6,7,8,14,5,5,10,15,24,31,18,15,13,5,15,1,,,,,,,,,,,,,,,,,,,,,,,
24,信義建國路口,大安區,121.53747,25.03293,15,8,1,0,5,21,9,19,13,12,2,2,0,6,15,1,2,3,14,6,3,1,17,17,2,13,9,2,7,17,28,25,28,43,30,34,22,7,2,7,15,18,13,8,29,41,26,21,12,4,18,26,26,28,26,22,6,4,27,15,,,,,,,,,,,,,,,,,,,,,,,
25,永吉松信路口,信義區,121.57205,25.04543,23,13,21,15,22,25,19,20,19,21,9,1,11,16,12,23,29,14,23,14,12,13,9,4,7,4,13,6,11,10,16,20,9,11,24,16,26,17,2,19,12,17,12,6,10,10,11,6,4,14,6,21,17,13,11,20,16,23,10,11,,,,,,,,,,,,,,,,,,,,,,,
26,捷運昆陽站(1號出口),南港區,121.592375,25.050142,16,25,18,10,12,13,15,26,15,27,19,10,20,13,11,6,3,1,8,15,15,20,16,25,33,26,24,25,27,31,24,23,6,8,9,8,5,22,25,16,15,16,18,20,18,16,36,33,27,9,11,8,11,11,24,22,21,21,25,29,,,,,,,,,,,,,,,,,,,,,,,
27,捷運南港展覽館站(5號出口),南港區,121.61669,25.05469,3,22,1,4,10,22,15,25,27,30,16,15,32,33,32,9,11,7,6,22,21,9,16,14,18,15,27,24,35,19,13,10,19,0,4,7,2,23,13,4,15,19,26,34,28,25,21,25,16,22,12,17,10,1,2,5,11,30,12,18,,,,,,,,,,,,,,,,,,,,,,,
28,五常公園,信義區,121.57467,25.04814,9,23,9,27,22,22,27,15,16,14,17,13,9,15,20,11,18,17,18,28,27,25,26,20,15,12,20,19,18,10,18,15,4,15,28,17,15,6,15,13,9,3,6,3,7,4,5,8,9,9,12,5,13,13,14,23,20,19,19,14,,,,,,,,,,,,,,,,,,,,,,,
29,金山愛國路口,大安區,121.52655,25.03164,13,32,52,37,35,31,29,26,39,38,33,15,8,13,22,20,9,6,10,41,43,48,49,43,39,51,46,46,32,1,2,6,5,2,8,8,13,34,43,47,47,38,27,27,26,31,31,32,25,20,16,9,0,10,18,10,8,13,18,21,,,,,,,,,,,,,,,,,,,,,,,
30,基隆長興路口,大安區,121.544352,25.017054,50,42,38,17,16,23,21,28,27,30,11,0,0,12,36,63,36,38,47,48,42,30,17,25,13,24,52,64,66,2,0,16,31,60,48,55,62,59,66,45,43,38,20,62,63,63,57,53,30,12,2,29,60,64,58,60,47,51,54,51,,,,,,,,,,,,,,,,,,,,,,,
31,辛亥新生路口,大安區,121.53456,25.022413,7,1,7,1,17,24,17,13,11,6,18,25,10,21,23,13,19,8,5,4,0,0,1,0,8,8,9,5,4,0,17,16,13,7,4,2,9,5,3,3,2,4,16,24,14,17,26,25,25,19,28,25,20,19,17,19,9,30,11,11,,,,,,,,,,,,,,,,,,,,,,,
32,捷運六張犁站,大安區,121.553161,25.023884,17,26,0,7,0,9,10,19,10,12,3,5,17,3,0,5,10,14,23,0,1,0,19,16,12,12,5,7,7,11,0,0,15,14,33,14,25,31,0,23,19,5,0,12,21,22,21,19,14,7,10,15,9,11,17,19,22,30,27,20,,,,,,,,,,,,,,,,,,,,,,,
33,中崙高中,松山區,121.56087,25.04878,17,23,38,32,34,30,31,36,39,32,15,14,10,14,5,0,3,3,14,24,25,27,32,31,34,35,36,29,26,13,18,11,17,8,14,19,9,7,17,23,27,27,25,20,26,36,31,28,24,26,21,7,17,11,13,11,4,9,11,13,,,,,,,,,,,,,,,,,,,,,,,
34,捷運行天宮站(1號出口),中山區,121.532934,25.058369,24,12,5,17,16,16,4,28,24,21,9,17,5,9,16,11,16,22,21,4,14,12,16,14,12,7,4,0,14,2,1,22,23,20,17,20,26,24,17,17,14,13,7,7,7,9,17,14,14,2,11,4,11,9,12,17,12,8,4,18,,,,,,,,,,,,,,,,,,,,,,,
35,捷運行天宮站(3號出口),中山區,121.533302,25.059978,21,25,17,17,3,11,10,26,18,21,7,7,23,27,26,22,26,19,22,22,22,3,1,7,7,4,18,11,12,8,11,21,11,15,12,11,9,4,3,2,17,16,5,7,3,3,6,2,1,6,4,29,8,3,19,14,4,21,14,15,,,,,,,,,,,,,,,,,,,,,,,
36,臺大資訊大樓,大安區,121.54153,25.02101,15,16,38,14,22,41,27,50,50,61,28,46,24,38,32,0,2,4,11,55,47,50,19,24,3,38,42,69,0,72,72,53,24,30,1,1,14,8,53,17,8,10,10,40,52,59,46,43,38,18,52,66,58,53,11,14,33,19,22,11,,,,,,,,,,,,,,,,,,,,,,,
37,捷運東門站(4號出口),大安區,121.528988,25.0337,23,17,9,11,8,3,1,1,2,9,9,9,22,37,23,14,23,17,33,11,11,3,12,8,13,5,5,12,2,31,38,46,34,36,26,33,35,11,21,23,18,13,5,0,8,16,23,35,35,24,16,7,3,6,34,34,34,24,25,22,,,,,,,,,,,,,,,,,,,,,,,
38,臺灣師範大學(圖書館),大安區,121.52889,25.02665,7,14,15,13,12,24,33,11,10,4,1,15,33,28,9,4,1,1,1,14,21,29,16,24,33,26,22,16,1,6,9,25,10,2,14,10,6,8,6,3,24,12,18,30,28,22,16,12,5,17,22,6,3,0,1,8,9,11,10,13,,,,,,,,,,,,,,,,,,,,,,,
39,南港世貿公園,南港區,121.61422,25.058,8,4,11,15,16,9,9,10,13,17,4,13,0,2,17,14,9,11,16,10,2,6,14,20,18,19,15,11,18,1,18,0,3,1,1,3,8,5,17,9,13,4,9,13,9,13,7,15,16,10,19,9,6,4,12,9,11,11,16,19,,,,,,,,,,,,,,,,,,,,,,,
40,玉成公園,南港區,121.5864,25.04287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
41,中研公園,南港區,121.613706,25.047425,11,16,26,20,19,14,18,19,18,18,27,15,3,3,15,11,19,21,21,14,15,20,15,20,13,12,8,21,11,5,5,22,18,24,10,14,19,18,24,19,20,17,16,13,14,12,17,11,3,8,17,22,15,16,11,10,10,15,18,15,,,,,,,,,,,,,,,,,,,,,,,
42,捷運後山埤站(1號出口),信義區,121.58174,25.04431,20,18,12,22,22,25,26,25,34,27,13,15,21,25,21,29,25,15,24,9,10,21,13,23,26,30,24,19,14,38,31,24,8,22,11,4,8,11,9,15,14,11,11,23,26,28,23,25,26,29,19,30,24,26,22,9,22,19,28,33,,,,,,,,,,,,,,,,,,,,,,,
43,凌雲市場,南港區,121.614154,25.035639,18,15,14,10,9,9,9,9,11,11,7,9,14,3,4,6,11,12,12,8,7,6,5,4,1,5,3,1,0,8,11,13,17,8,17,20,17,17,15,14,14,11,10,9,9,8,8,9,10,11,11,13,19,20,25,28,27,27,20,18,,,,,,,,,,,,,,,,,,,,,,,
44,捷運南港軟體園區站(2號出口),南港區,121.616187,25.05973,18,20,26,27,24,19,26,23,23,23,19,14,4,2,3,10,10,15,29,22,22,21,21,20,24,27,26,28,24,22,17,7,5,8,8,9,19,20,27,25,23,24,27,24,23,23,22,21,23,21,21,25,22,26,21,19,21,23,24,24,,,,,,,,,,,,,,,,,,,,,,,
45,捷運公館站(2號出口),大安區,121.534538,25.01476,29,2,0,2,2,6,5,0,1,11,30,6,10,18,15,14,19,2,9,0,0,0,1,3,18,1,9,3,30,3,6,17,14,7,8,3,29,1,1,1,0,10,23,9,2,13,13,16,14,19,19,15,1,13,8,5,27,4,17,3,,,,,,,,,,,,,,,,,,,,,,,
46,南港國小,南港區,121.611027,25.05646,8,1,23,30,20,15,14,9,20,12,35,17,3,0,1,5,3,3,5,26,36,25,29,25,31,24,26,23,36,20,6,6,0,3,3,4,3,8,13,24,31,30,32,33,34,33,22,31,40,33,29,28,31,33,21,19,21,20,22,20,,,,,,,,,,,,,,,,,,,,,,,
47,捷運忠孝新生站(3號出口),大安區,121.533862,25.041924,22,16,7,1,1,18,12,10,10,17,17,3,5,0,0,24,24,26,24,3,4,1,1,17,16,15,17,17,16,12,6,14,17,11,18,21,23,16,1,18,14,6,17,24,35,21,21,23,30,22,23,21,23,12,16,20,19,17,24,12,,,,,,,,,,,,,,,,,,,,,,,
48,南港車站(忠孝東路),南港區,121.608202,25.05247,25,28,11,1,7,6,5,8,6,6,8,25,26,30,32,28,25,25,20,15,14,2,2,0,3,1,2,0,6,19,19,19,23,22,17,16,21,17,8,2,5,7,6,7,6,10,11,16,21,22,34,28,22,20,11,14,12,12,9,10,,,,,,,,,,,,,,,,,,,,,,,
