sno,sna,sarea,lng,lat,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424
1,捷運市政府站(3號出口),信義區,121.5679044,25.04085789,95,93,91,100,93,109,113,114,117,111,108,154,159,156,145,72,48,35
2,捷運國父紀念館站(2號出口),大安區,121.55742,25.041254,21,4,15,24,22,37,35,23,11,12,15,23,29,19,5,1,4,14
3,台北市政府,信義區,121.5651694,25.03779722,12,40,16,28,26,21,19,32,18,32,24,25,14,28,23,6,2,11
4,市民廣場,信義區,121.562325,25.03603611,19,30,40,43,48,43,39,41,42,41,36,25,21,14,17,17,4,14
5,興雅國中,信義區,121.5686639,25.03656389,21,33,25,12,22,18,14,28,9,3,26,3,13,16,16,6,0,14
6,臺北南山廣場,信義區,121.565973,25.034047,16,39,53,60,63,63,65,69,70,71,69,45,31,28,5,3,1,1
7,信義廣場(台北101),信義區,121.5656194,25.03303889,20,18,41,46,8,8,0,24,35,27,55,14,20,17,19,0,0,0
8,世貿三館,信義區,121.5636889,25.03521389,12,24,34,34,39,47,49,51,53,52,48,28,31,32,24,14,8,10
9,松德站,信義區,121.57448,25.031785,23,25,28,29,29,18,22,26,17,13,4,7,16,14,13,25,26,29
10,台北市災害應變中心,信義區,121.5661167,25.02866111,35,29,26,26,36,24,32,22,40,31,17,22,27,19,28,5,17,23
11,三張犁,信義區,121.55762,25.034937,56,15,14,6,1,0,9,7,8,7,5,15,23,29,21,39,57,59
12,臺北醫學大學,信義區,121.561747,25.026679,14,17,20,17,17,13,11,23,30,35,7,37,33,44,30,27,37,41
13,福德公園,信義區,121.58367,25.03809,22,37,23,23,12,3,14,17,13,13,12,20,33,36,5,24,48,20
14,榮星花園,中山區,121.54037,25.06424,20,14,0,1,4,5,4,1,6,2,3,29,4,14,20,22,16,5
15,饒河夜市,松山區,121.571885,25.049845,36,27,30,28,21,15,18,17,25,29,19,26,33,38,44,51,50,54
16,松山家商,信義區,121.579135,25.036084,17,17,14,8,10,6,8,21,24,6,0,15,23,21,29,14,28,32
17,民生光復路口,松山區,121.55514,25.05862,9,12,16,16,16,3,5,10,13,9,19,6,0,3,11,12,10,10
18,臺北市藝文推廣處,松山區,121.552278,25.048268,9,1,1,4,3,12,21,12,5,8,7,25,31,29,11,2,6,8
19,象山公園,信義區,121.56981,25.02863,5,29,11,13,20,6,13,2,4,22,17,2,1,3,5,6,6,4
20,捷運科技大樓站,大安區,121.543293,25.025896,33,9,0,19,14,33,29,24,19,6,4,7,3,2,5,0,18,21
21,民生敦化路口,松山區,121.548982,25.057985,12,25,38,52,31,31,28,33,31,35,20,21,29,16,2,1,0,7
22,松山車站,信義區,121.57845,25.048824,33,7,3,19,26,25,30,27,18,27,17,27,39,34,34,21,17,11
23,東新國小,南港區,121.602798,25.055074,20,20,15,12,11,13,12,15,8,6,5,10,12,18,9,13,31,19
24,信義建國路口,大安區,121.53747,25.03293,14,6,5,14,15,9,2,13,13,2,8,24,32,29,28,42,28,31
25,永吉松信路口,信義區,121.57205,25.04543,23,14,4,13,8,3,7,4,11,8,13,11,7,19,9,12,30,16
26,捷運昆陽站(1號出口),南港區,121.592375,25.050142,8,15,22,19,17,26,33,26,25,20,27,26,21,25,6,9,5,7
27,捷運南港展覽館站(5號出口),南港區,121.61669,25.05469,6,22,12,10,17,18,18,15,26,24,37,14,6,8,19,0,1,5
28,五常公園,信義區,121.57467,25.04814,18,28,27,26,26,22,15,12,18,20,18,12,12,14,4,14,30,17
29,金山愛國路口,大安區,121.52655,25.03164,10,41,48,47,47,42,39,51,48,42,32,1,2,5,5,2,8,7
30,基隆長興路口,大安區,121.544352,25.017054,47,48,36,26,18,20,13,24,52,68,66,2,9,10,31,60,50,55
31,辛亥新生路口,大安區,121.53456,25.022413,5,4,0,6,0,6,8,8,6,0,4,6,19,16,13,8,5,3
32,捷運六張犁站,大安區,121.553161,25.023884,23,0,0,3,19,20,12,12,7,7,8,5,1,0,15,15,37,14
33,中崙高中,松山區,121.56087,25.04878,14,24,30,28,32,31,34,35,36,26,26,15,22,11,17,8,15,19
34,捷運行天宮站(1號出口),中山區,121.532934,25.058369,21,4,15,12,14,10,12,7,7,1,14,2,7,13,23,20,20,19
35,捷運行天宮站(3號出口),中山區,121.533302,25.059978,22,22,22,3,1,10,7,4,16,14,11,10,24,17,11,14,14,11
36,臺大資訊大樓,大安區,121.54153,25.02101,11,55,42,25,20,20,3,38,48,50,1,69,69,55,24,28,3,1
37,捷運東門站(4號出口),大安區,121.528988,25.0337,33,11,9,9,9,11,13,5,6,7,1,39,43,46,34,33,27,33
38,臺灣師範大學(圖書館),大安區,121.52889,25.02665,1,14,27,18,13,26,33,26,19,7,1,0,18,25,10,3,8,11
39,南港世貿公園,南港區,121.61422,25.058,16,10,16,10,16,19,18,19,13,10,18,1,0,1,3,0,1,3
40,玉成公園,南港區,121.5864,25.04287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,中研公園,南港區,121.613706,25.047425,21,14,21,19,15,19,13,12,8,24,11,5,13,20,18,25,12,13
42,捷運後山埤站(1號出口),信義區,121.58174,25.04431,24,9,12,19,15,25,26,30,22,12,14,38,34,32,8,22,8,4
43,凌雲市場,南港區,121.614154,25.035639,12,8,7,6,5,3,1,5,3,1,0,11,9,13,17,8,17,20
44,捷運南港軟體園區站(2號出口),南港區,121.616187,25.05973,29,22,22,20,21,20,24,27,26,27,24,22,13,7,5,7,8,9
45,捷運公館站(2號出口),大安區,121.534538,25.01476,9,0,0,0,1,18,18,1,12,6,30,6,16,20,14,6,17,3
46,南港國小,南港區,121.611027,25.05646,5,26,27,29,30,25,31,24,25,38,36,14,6,6,0,3,4,4
47,捷運忠孝新生站(3號出口),大安區,121.533862,25.041924,24,3,6,5,2,17,16,15,17,16,13,9,2,8,17,9,21,19
48,南港車站(忠孝東路),南港區,121.608202,25.05247,20,15,0,1,4,2,3,1,2,2,6,21,20,19,23,22,17,16
49,龍門廣場,大安區,121.548252,25.040901,45,11,16,19,8,19,22,24,26,24,25,12,20,26,23,4,0,3
50,民權運動公園,松山區,121.560186,25.062002,20,20,15,16,15,13,16,18,15,17,12,2,3,5,9,12,18,20
51,建國農安街口,中山區,121.536775,25.065031,13,4,6,4,6,4,5,11,9,7,5,9,10,14,21,20,20,22
52,建國長春路口,中山區,121.536925,25.054761,5,19,3,7,3,5,4,5,5,3,0,2,2,7,2,2,9,10
53,八德市場,中山區,121.536609,25.044781,13,14,15,15,13,13,17,16,14,13,3,1,0,5,9,9,15,13
54,臺北市立圖書館(總館),大安區,121.538073,25.028798,11,1,1,6,8,12,5,6,1,9,4,11,23,26,16,29,15,22
55,臺北田徑場,松山區,121.549408,25.049505,10,38,39,23,17,15,16,12,24,18,19,5,2,0,15,7,0,6
56,仁愛林森路口,中正區,121.522334,25.038954,10,10,18,25,16,13,10,20,21,32,29,7,7,9,11,13,19,18
57,新生和平路口,大安區,121.53519,25.026217,10,15,16,26,35,27,20,32,36,33,35,1,2,8,11,10,7,9
58,捷運善導寺站(1號出口),中正區,121.5222,25.045267,14,25,25,25,22,25,25,34,34,25,15,6,3,5,5,5,0,2
59,林森公園,中山區,121.525805,25.052227,14,2,3,8,6,7,4,4,5,1,5,15,21,25,15,19,14,10
60,中山行政中心,中山區,121.533487,25.064317,6,9,2,4,4,2,6,8,7,7,1,8,14,14,18,4,12,14
61,台灣科技大學,大安區,121.539723,25.0131,12,7,20,9,17,9,26,38,28,21,30,0,7,1,4,3,0,9
62,南昌公園,中正區,121.520258,25.026827,15,14,9,10,16,15,13,1,19,28,20,33,9,17,17,14,1,0
63,仁愛醫院,大安區,121.545632,25.037569,16,24,26,19,17,16,15,23,17,13,15,23,9,1,13,3,7,2
64,國家圖書館,中正區,121.517029,25.037773,12,25,31,36,34,28,24,29,29,38,33,17,12,12,1,1,5,4
65,青年公園3號出口,萬華區,121.502708,25.022725,13,19,14,7,9,14,17,22,29,19,17,5,21,2,16,5,30,35
66,師範大學公館校區,文山區,121.537188,25.007528,17,23,19,15,33,15,21,25,25,31,21,16,21,25,37,28,28,8
