sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318
44,捷運南港軟體園區站(2號出口),南港區,121.616187,25.05973,0.5,0.56,0.72,0.75,0.69,0.54,0.74,0.66,0.66,0.66,0.54,0.4
45,捷運公館站(2號出口),大安區,121.534538,25.01476,0.97,0.07,0,0.07,0.07,0.2,0.17,0,0.03,0.37,1,0.2
46,南港國小,南港區,121.611027,25.05646,0.19,0.02,0.52,0.68,0.45,0.34,0.32,0.2,0.45,0.27,0.8,0.39
47,捷運忠孝新生站(3號出口),大安區,121.533862,25.041924,0.61,0.44,0.19,0.03,0.03,0.5,0.33,0.28,0.28,0.47,0.47,0.08
48,南港車站(忠孝東路),南港區,121.608202,25.05247,0.66,0.74,0.29,0.03,0.18,0.16,0.13,0.21,0.16,0.16,0.21,0.66
49,龍門廣場,大安區,121.548252,25.040901,0.65,0.73,0.18,0.33,0.29,0.45,0.47,0.67,0.71,0.65,0.88,0.67
50,民權運動公園,松山區,121.560186,25.062002,0.78,0.81,0.58,0.48,0.52,0.52,0.56,0.62,0.48,0.56,0.56,0.46
51,建國農安街口,中山區,121.536775,25.065031,0.2,0.29,0.23,0.12,0.12,0.09,0.11,0.11,0.18,0.18,0.36,0.39
52,建國長春路口,中山區,121.536925,25.054761,0.6,0.38,0.2,0.27,0.41,0.41,0.41,0.21,0.31,0.31,0.48,0.31
53,八德市場,中山區,121.536609,25.044781,0.35,0.15,0.12,0.08,0.12,0.08,0.08,0.15,0.27,0.31,0.35,0
54,臺北市立圖書館(總館),大安區,121.538073,25.028798,0.53,0,0,0.23,0.27,0.47,0.43,0.57,0.53,0.13,0.07,0.2
55,臺北田徑場,松山區,121.549408,25.049505,0.13,0.22,0.46,0.54,0.56,0.67,0.53,0.33,0.11,0.11,0.22,0
56,仁愛林森路口,中正區,121.522334,25.038954,0.38,0.74,0.76,0.5,0.4,0.21,0.29,0.34,0.32,0.29,0.62,0.5
57,新生和平路口,大安區,121.53519,25.026217,0.43,0.66,0.75,0.61,0.48,0.2,0,0.3,0.11,0.16,0.02,0.05
58,捷運善導寺站(1號出口),中正區,121.5222,25.045267,0.25,0.5,0.33,0.52,0.38,0.1,0.15,0.4,0.4,0.33,0.42,0.23
59,林森公園,中山區,121.525805,25.052227,0.7,0.33,0.03,0.13,0,0.1,0.13,0.33,0.33,0.07,0.03,0.13
60,中山行政中心,中山區,121.533487,25.064317,0.4,0.17,0.8,0.63,0.77,0.53,0.33,0.13,0.23,0.27,0.27,0
61,台灣科技大學,大安區,121.539723,25.0131,0.26,0.15,0.2,0.35,0.48,0.07,0.2,0.7,0.63,0.46,0.07,0.46
62,南昌公園,中正區,121.520258,25.026827,0.29,0.5,0.32,0.38,0.38,0.44,0.44,0.32,0.32,0.06,0,0.91
63,仁愛醫院,大安區,121.545632,25.037569,0.42,0.67,0.33,0.61,0.57,0.46,0.6,0.8,0.29,0.11,0.46,0.29
64,國家圖書館,中正區,121.517029,25.037773,0.24,0.16,0.65,0.64,0.64,0.64,0.64,0.76,0.96,0.7,0.76,0.58
65,青年公園3號出口,萬華區,121.502708,25.022725,0.35,0.03,0.54,0.43,0.39,0.53,0.67,0.89,0.42,0.39,0.22,0.39
66,師範大學公館校區,文山區,121.537188,25.007528,0.37,0.63,0.59,0.59,0.54,0.14,0.17,0.17,0.29,0.48,0.81,0.62
67,捷運臺大醫院(4號出口),中正區,121.516428,25.042973,0.52,0.17,0.31,0.42,0.29,0.31,0.42,0.73,0.62,0.56,0.52,0.69
68,國興青年路口,萬華區,121.506536,25.025865,0.53,0.08,0.22,0.33,0.39,0.42,0.53,0.44,0.31,0.31,0.14,0.69
69,興豐公園,文山區,121.547778,24.999837,0.74,0.65,0.5,0.29,0.47,0.5,0.38,0.38,0.35,0.29,0.21,0.38
70,捷運台北101/世貿站,信義區,121.561645,25.032752,0.73,0.67,0.65,0.63,0.52,0.56,0.46,0.58,0.39,0.4,0.29,0.42
71,捷運信義安和站(4號出口),大安區,121.554204,25.032985,0.73,0.43,0.03,0.07,0.1,0.2,0.27,0.3,0.27,0.23,0.47,0.21
72,新生長安路口,中山區,121.529346,25.048611,0.17,0,0.1,0.05,0.05,0.02,0.07,0.02,0.05,0.07,0,0.19
73,酒泉延平路口,大同區,121.510195,25.072228,0.16,0.25,0.62,0.59,0.53,0.53,0.53,0.59,0.66,0.72,0.69,0.38
74,信義連雲街口,中正區,121.530547,25.033817,0.82,0.64,0.49,0.33,0.21,0.13,0.08,0.1,0,0.03,0.07,0.17
75,基隆光復路口,信義區,121.557635,25.0300508,0.6,0.83,0.93,0.77,1,0.53,0.7,0.73,0.23,0,0.23,0.47
76,新生長春路口,中山區,121.527522,25.056387,0.58,0.75,0.64,0.58,0.46,0.46,0.54,0.57,0.63,0.49,0.51,0.14
77,民生活動中心,松山區,121.56297,25.059147,0.5,0.66,0.84,0.81,0.65,0.55,0.55,0.58,0.53,0.69,0.38,0.53
78,捷運圓山站(2號出口),大同區,121.519287,25.071824,0.33,0.43,0.67,0.39,0.27,0.57,0.66,0.67,0.48,0.71,0.69,0.6
79,捷運民權西路站(3號出口),大同區,121.520205,25.061285,0.3,0.33,0.32,0.32,0.34,0.24,0.08,0.26,0.34,0.42,0.28,0.24
80,華江高中,萬華區,121.495869,25.02751,0.2,0.36,0.68,0.84,0.48,0.98,0.75,0.61,0.68,0.77,0.64,0.34
81,捷運台電大樓站(2號出口),大安區,121.528552,25.020547,0.47,0.09,0.06,0,0.27,0.15,0.24,0.27,0.41,0.68,0.38,0.94
82,捷運西門站(3號出口),中正區,121.508693,25.041778,0.46,0.38,0.28,0.3,0.37,0.32,0.42,0.45,0.27,0.35,0.13,0.15
83,捷運大安森林公園站,大安區,121.535161,25.033156,0.74,0.28,0.24,0.04,0.18,0.16,0.14,0.81,0.93,0.95,0.84,0.76
84,復華花園新城,萬華區,121.502899,25.029705,0.66,0.63,0.29,0.68,0.58,0.55,0.63,0.5,0.5,0.53,0.58,0.55
85,信義敦化路口,大安區,121.54911,25.033362,0.4,0.36,0.49,0.2,0.09,0.3,0.3,0.3,0.32,0.57,0.55,0.42
86,民權復興路口,松山區,121.545138,25.062344,0.25,0.03,0.17,0.25,0.22,0.25,0.25,0.19,0.17,0.22,0.22,0.22
87,捷運大安站,大安區,121.543057,25.033078,0.36,0.05,0.18,0.09,0.09,0.05,0.18,0.23,0.05,0.05,0,0.55
88,捷運象山站,信義區,121.57087,25.032922,0.55,0.15,0.27,0.25,0.61,0.42,0.55,0.68,0.84,0.53,0.56,0.65
89,和平重慶路口,中正區,121.516385,25.027323,0.58,0.37,0.05,0.02,0.09,0.16,0.09,0.12,0.23,0.47,0.42,0.37
90,老松國小,萬華區,121.501708,25.037783,0.61,0.52,0.3,0.11,0.3,0.39,0.45,0.55,0.48,0.24,0.02,0.29
91,市立美術館,中山區,121.523268,25.070629,0.69,0.5,0.58,0.56,0.72,0.61,0.67,0.78,0.75,0.75,0.72,0.28
92,開封西寧路口,萬華區,121.507169,25.046618,0.31,0.02,0.05,0.02,0.1,0,0.14,0.05,0.02,0.1,0.26,0.21
93,吳興公車總站,信義區,121.569836,25.023877,0.47,0.05,0.58,0.31,0.64,0.62,0.38,0.29,0.33,0.29,0.56,0.58
94,捷運景美站,文山區,121.541059,24.993254,0.37,0.13,0.33,0.4,0.45,0.31,0.25,0.25,0.25,0.18,0.37,0.59
95,東園國小,萬華區,121.497679,25.023393,0.59,0.84,0.66,0.47,0.41,0.38,0.47,0.38,0.38,0.47,0.28,0.31
96,三民公園,松山區,121.566558,25.061567,0.63,0.43,0.2,0.13,0.1,0.53,0.57,0.7,0.7,0.77,0.3,0.3
97,捷運劍潭站(2號出口),士林區,121.524721,25.082825,0.42,0.54,0.12,0.02,0.33,0.44,0.44,0.42,0.33,0.13,0.29,0.88
98,羅斯福景隆街口,文山區,121.540197,24.999378,0.67,0.62,0.57,0.55,0.57,0.57,0.5,0.52,0.62,0.62,0.67,0.6
99,捷運雙連站(2號出口),大同區,121.520711,25.057866,0.36,0.76,0.71,0.71,0.57,0.43,0.67,0.74,0.43,0.36,0.64,0.12
100,金山市民路口,中正區,121.530697,25.045753,0.25,0.2,0.15,0.03,0.03,0.12,0.17,0.1,0.2,0.47,0.4,0.59
101,華山文創園區,中正區,121.528487,25.043668,0.36,0.3,0.36,0.48,0.44,0.42,0.34,0.46,0.48,0.7,0.82,0.5
102,臺北市客家文化主題公園,中正區,121.525322,25.02043,0.31,0.19,0.12,0.16,0.12,0.09,0.03,0.03,0.06,0.09,0.03,0
103,萬華車站,萬華區,121.503028,25.033639,0.28,0.1,0.02,0.02,0.2,0.2,0.27,0.27,0.25,0.2,0.25,0.4
104,台北花木批發市場,文山區,121.54074,25.004023,0.57,0.49,0.62,0.57,0.58,0.33,0.25,0.19,0.22,0.25,0.33,0.53
105,峨嵋停車場,萬華區,121.505409,25.044412,0.22,0.24,0.41,0.17,0.29,0.44,0.56,0.56,0.59,0.78,0.76,0.71
106,西園艋舺路口,萬華區,121.497674,25.032932,0.39,0.16,0.05,0,0.07,0.14,0.2,0.18,0.16,0.16,0.27,0.2
107,捷運小南門站(1號出口),中正區,121.509422,25.036402,0.33,0.55,0.87,0.85,0.62,0.62,0.46,0.4,0.29,0.73,0.65,0.54
108,臺北孔廟,大同區,121.515843,25.073306,0.62,0.59,0.47,0.56,0.34,0.06,0.09,0.09,0.06,0.12,0.28,0.52
109,林安泰古厝,中山區,121.530805,25.071606,0.31,0.42,0.5,0.42,0.42,0.39,0.39,0.44,0.47,0.42,0.31,0.25
110,文湖國小,內湖區,121.560888,25.086376,0.8,0.34,0.2,0.52,0.48,0.25,0.11,0.05,0.11,0.25,0.36,0.36
111,捷運忠孝復興站(2號出口),大安區,121.543497,25.040184,0.57,0,0.09,0.06,0.02,0.09,0.22,0.19,0.04,0.07,0.13,0.12
112,捷運新北投站,北投區,121.503124,25.137456,0.67,0.6,0.52,0.44,0.52,0.79,0.73,0.67,0.56,0.38,0.02,0.06
113,仁愛逸仙路口,信義區,121.561178,25.037724,0.49,0.89,0.65,0.68,0.57,0.57,0.49,0.59,0.51,0.62,0.46,0.49
114,蘭雅公園,士林區,121.530386,25.109908,0.52,0.57,0.83,0.38,0.24,0.24,0.21,0.24,0.52,0.69,0.41,0.59
115,臺北轉運站,中正區,121.520526,25.048222,0.65,0.28,0.12,0.12,0.09,0.19,0.25,0.21,0.16,0.12,0.32,0.41
116,福林公園,士林區,121.530215,25.096122,0.14,0.12,0.02,0.02,0.02,0.05,0.12,0.21,0.12,0.16,0.28,0.37
117,捷運北投站,北投區,121.498618,25.132581,0.69,0.5,0.6,0.33,0.33,0.49,0.6,0.54,0.61,0.65,0.56,0.72
118,大業大同街口,北投區,121.499152,25.136929,0.42,0,0.14,0.22,0.14,0.03,0.06,0.08,0,0,0.06,0.11
119,捷運劍南路站(2號出口),中山區,121.555116,25.08418,0.41,0.7,0.6,0.09,0.29,0.38,0.47,0.78,0.38,0.36,0.53,0.44
120,捷運龍山寺站(1號出口),萬華區,121.50026,25.035479,0.54,0.15,0.2,0.28,0.43,0.24,0.26,0.26,0.15,0.26,0.41,0.54
121,龍江南京路口,中山區,121.540568,25.05298,0.17,0.18,0.32,0.23,0.26,0.28,0.28,0.18,0.12,0.17,0.2,0.15
122,捷運港墘站(2號出口),內湖區,121.57584,25.079666,0.48,0.4,0.02,0.02,0.08,0.06,0.12,0.04,0.06,0,0.22,0.44
123,天母運動公園,士林區,121.534136,25.116325,0.2,0.57,0.7,0.48,0.52,0.52,0.52,0.59,0.55,0.55,0.7,0.34
124,振華公園,北投區,121.518163,25.115863,0.44,0.19,0.03,0.06,0.11,0.11,0.22,0.22,0.11,0.19,0.31,0.08
125,華西公園,萬華區,121.498495,25.038609,0.87,0.67,0.33,0.43,0.03,0.1,0.17,0.13,0.13,0.1,0.3,0.47
126,敦化基隆路口,大安區,121.548336,25.022073,0.23,0.73,0.4,0.9,0.67,0.47,0.17,0.5,0.63,0.6,0.27,0.7
127,東湖國中,內湖區,121.619521,25.073277,0.25,0.4,0.5,0.38,0.4,0.23,0.05,0.15,0.05,0.07,0,0.05
128,成功國宅,大安區,121.546726,25.026808,0.47,0.5,0.58,0.61,0.5,0.61,0.56,0.42,0,0,0.19,0.17
129,捷運文德站(2號出口),內湖區,121.58456,25.078424,0.46,0.38,0.26,0.12,0.08,0.14,0.18,0.08,0.16,0.04,0.02,0.16
130,羅斯福寧波東街口,中正區,121.519411,25.031445,0.42,0.58,0.68,0.88,0.5,0.15,0,0.08,0.08,0.12,0.23,0.04
131,洲子二號公園,內湖區,121.568688,25.079322,0.31,0.47,0.82,0.3,0.25,0.09,0.25,0.38,0.41,0.34,0.21,0.64
132,羅斯福新生南路口,大安區,121.5331757,25.01603085,0.92,0.38,0.01,0.03,0.01,0.12,0.19,0.02,0.17,0.16,0.5,0.85
133,蘭興公園,士林區,121.525888,25.111839,0.53,0.33,0.38,0.25,0.23,0.17,0.1,0.1,0.23,0.3,0.55,0.2
134,捷運芝山站(2號出口),士林區,121.522629,25.10336,0.38,0.47,0.37,0.34,0.64,0.95,0.67,0.48,0.31,0.77,0.78,0.78
135,捷運石牌站(2號出口),北投區,121.515677,25.114513,0.26,0.37,0.46,0.5,0.46,0.34,0.42,0.51,0.34,0.45,0.54,0.78
136,國立臺北護理健康大學,北投區,121.517512,25.118049,0.6,0.6,0.4,0.37,0.53,0.63,0.37,0.47,0.57,0.73,0.63,0.23
137,國防大學,北投區,121.493066,25.137976,0.42,0.38,0.36,0.31,0.27,0.34,0.34,0.41,0.39,0.43,0.3,0
138,捷運永春站(2號出口),信義區,121.575372,25.040558,0.33,0.47,0.07,0.52,0.28,0.24,0.59,0.67,0.3,0.47,0.03,0.33
139,永樂市場,大同區,121.510549,25.054501,0.47,0.37,0.79,0.32,0.58,0.5,0.61,0.55,0.53,0.45,0.08,0.53
140,捷運大橋頭站(2號出口),大同區,121.512909,25.063404,0.59,0.78,0.5,0.39,0.85,0.61,0.5,0.5,0.76,0.78,0.62,0.82
141,文山行政中心,文山區,121.569984,24.989902,0.26,0.29,0.42,0.39,0.39,0.44,0.36,0.42,0.47,0.56,0.47,0.39
142,捷運木柵站,文山區,121.574214,24.997747,0.29,0.4,0.4,0.4,0.38,0.42,0.06,0.33,0.33,0.33,0.35,0.33
143,捷運動物園站(2號出口),文山區,121.578752,24.997659,0.36,0.38,0.36,0.33,0.28,0.26,0.25,0.22,0.24,0.36,0.42,0.34
144,國立政治大學,文山區,121.576536,24.988363,0.3,0.37,0.4,0.46,0.47,0.46,0.44,0.4,0.47,0.34,0.32,0.38
145,樹德公園,大同區,121.516149,25.066688,0.7,0.75,0.8,0.62,0.47,0.47,0.3,0.28,0.1,0.03,0.03,0.05
146,捷運士林站(2號出口),士林區,121.526556,25.092546,0.76,0.67,0.14,0.3,0.35,0.17,0.24,0.28,0.24,0.28,0.39,0.61
147,士林運動中心,士林區,121.521814,25.089175,0.59,0.16,0.41,0.52,0.67,0.43,0.4,0.27,0.3,0.57,0.93,0.57
148,捷運明德站,北投區,121.518316,25.110331,0.46,0.4,0.21,0.12,0.04,0.28,0.29,0.18,0.21,0.19,0.1,0.04
149,北投運動中心,北投區,121.509621,25.116665,0.73,0.18,0.05,0.32,0.24,0.31,0.29,0.18,0.23,0.11,0.02,0.13
150,松德公園,信義區,121.57343,25.036568,0.26,0.29,0.71,0.92,0.42,0.87,0.34,0.37,0.55,0.45,0.41,0.82
151,考試院,文山區,121.549827,24.987507,0.21,0.26,0.38,0.41,0.44,0.38,0.38,0.29,0.47,0.41,0.26,0.18
152,百齡國小,士林區,121.519175,25.08521,0.78,0.62,0.12,0.85,0.8,0.5,0.38,0.5,0.65,0.85,0.33,0.72
153,蔣渭水紀念公園,大同區,121.516299,25.059885,0.53,0.42,0.56,0.53,0.5,0.5,0.61,0.31,0.17,0.19,0.14,0.12
154,中正基河路口,士林區,121.519867,25.093396,0.43,0.72,0.78,0.46,0.43,0.43,0.38,0.43,0.43,0.27,0.08,0.32
155,瑞光港墘路口,內湖區,121.57505,25.076193,0.3,0.5,0.13,0.1,0.37,0.77,0.5,0.33,0.23,0.4,0.1,0.13
156,東湖國小,內湖區,121.61538,25.06853,0.14,0.14,0.08,0.19,0.22,0.35,0.3,0.27,0.37,0.16,0.03,0.18
157,麗山國小,內湖區,121.571467,25.082703,0.57,0.43,0.21,0.17,0.24,0.19,0.21,0.24,0.14,0.21,0.17,0.21
158,捷運東湖站,內湖區,121.61355,25.067026,0.21,0.31,0.4,0.44,0.51,0.49,0.55,0.47,0.43,0.36,0.26,0.15
159,捷運西湖站(1號出口),內湖區,121.566695,25.082866,0.5,0.74,0.34,0.03,0.06,0.06,0.03,0,0.03,0.03,0.06,0.22
161,大豐公園,北投區,121.503768,25.131143,0.58,0.49,0.47,0.47,0.42,0.38,0.4,0.4,0.45,0.44,0.44,0.24
162,捷運中山國小站(4號出口),中山區,121.52772,25.062924,0.69,0.59,0.43,0.29,0.26,0.26,0.27,0.16,0.19,0.11,0.1,0.04
163,捷運麟光站2號出口,大安區,121.559279,25.018097,0.65,0.55,0.38,0.25,0.56,0.52,0.58,0.55,0.55,0.61,0.72,0.86
164,捷運奇岩站,北投區,121.500801,25.126286,0.32,0.36,0.34,0.55,0.43,0.56,0.65,0.7,0.74,0.74,0.72,0.61
165,捷運唭哩岸站(2號出口),北投區,121.505693,25.120788,0.13,0.35,0.23,0.24,0.32,0.24,0.31,0.32,0.34,0.27,0.24,0.34
166,臺北市立景美女中,文山區,121.556177,24.980602,0.35,0.44,0.38,0.47,0.44,0.41,0.44,0.53,0.59,0.18,0.09,0.41
167,臺北市立天文館,士林區,121.518046,25.095714,0.08,0.4,0.65,0.82,0.42,0.7,0.62,0.68,0.5,0.38,0.22,0.1
168,河堤國小,中正區,121.522855,25.02288,0.67,0.37,0.07,0,0.21,0.14,0.09,0.05,0.14,0.19,0.21,0.37
169,植物園,中正區,121.509813,25.030015,0.18,0.34,0.68,0.59,0.58,0.4,0.16,0.37,0.63,0.63,0.49,0.16
170,新東公園,松山區,121.568883,25.059245,0.82,0.88,0.8,0.76,0.68,0.38,0.32,0.18,0.14,0.1,0.08,0.1
171,文山運動中心,文山區,121.559651,24.996842,0.32,0.34,0.42,0.45,0.55,0.42,0.39,0.26,0.29,0.29,0.13,0.18
172,捷運南京三民站(1號出口),松山區,121.562891,25.051562,0.83,0.29,0.12,0.29,0.42,0.54,0.67,0.96,0.42,0.38,0.04,0
173,捷運松江南京站(7號出口),中山區,121.533211,25.052181,0.75,0.69,0.04,0.09,0.2,0.28,0.58,0.52,0.39,0.71,0.52,0.46
174,捷運小巨蛋站(5號出口),松山區,121.553057,25.051702,0.73,0.23,0.27,0.15,0.46,0.44,0.56,0.6,0.15,0.15,0.17,0.48
175,捷運南京復興站(5號出口),松山區,121.544847,25.051618,0.42,0.4,0.16,0.02,0.31,0.18,0.53,0.65,0.49,0.83,0.96,0.96
176,興安華城,中山區,121.542318,25.055997,0.43,0.18,0.07,0.04,0.01,0.05,0.05,0,0.03,0.03,0.11,0.23
177,葫蘆國小,士林區,121.507495,25.082538,0.54,0.56,0.49,0.45,0.4,0.4,0.47,0.53,0.57,0.55,0.5,0.62
178,延平國宅,士林區,121.510306,25.078908,0.5,0.31,0.25,0.19,0.12,0.06,0.09,0.09,0.12,0.12,0.25,0.25
179,南港公園,南港區,121.59073,25.041355,0.33,0.13,0.15,0.06,0.02,0.08,0.1,0.06,0.06,0.02,0.1,0.08
180,福華商場,內湖區,121.592654,25.06877,0.18,0.26,0.21,0.18,0.21,0.16,0.16,0.13,0.15,0.18,0.13,0.13
181,建國和平路口,大安區,121.537383,25.02585,0.08,0.31,0.45,0.52,0.31,0.19,0.04,0.54,0.59,0.53,0.41,0.02
182,捷運古亭站(2號出口),中正區,121.523537,25.0253,0.39,0.94,0.49,0.39,0.51,0.49,0.27,0.31,0.31,0.12,0.18,0.02
183,圓環站,大同區,121.514179,25.05379,0.91,0.62,0.45,0.39,0.16,0.23,0.29,0.19,0.35,0.29,0.23,0.12
184,劍潭社區,中山區,121.537892,25.084759,0.68,0.66,0.56,0.51,0.49,0.51,0.54,0.49,0.46,0.41,0.45,0.43
