sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318
185,?公公園,大安區,121.54605,25.042342,0.55,0.28,0.24,0.07,0.14,0.24,0.17,0.28,0.17,0.24,0.21,0.31
186,臺北市立大學,中正區,121.514218,25.035414,0.37,0.51,0.65,0.68,0.7,0.67,0.49,0.37,0.35,0.52,0.46,0.55
187,仁愛延吉街口,大安區,121.555769,25.037465,0.29,0.62,0.59,0.74,0.41,0.41,0.5,0.35,0.15,0.18,0.32,0.29
188,社子國小,士林區,121.50189,25.090293,0.66,0.57,0.64,0.6,0.6,0.58,0.62,0.63,0.63,0.46,0.4,0.31
189,金瑞公園(金龍路),內湖區,121.58781,25.087987,0.59,0.49,0.32,0.32,0.16,0.11,0.11,0.22,0.11,0.19,0.13,0.32
190,捷運大直站(3號出口),中山區,121.546683,25.079278,0.13,0.31,0.1,0.03,0.03,0.03,0.08,0.14,0.11,0,0.03,0.26
191,捷運大湖公園站(2號出口),內湖區,121.60206,25.083873,0.23,0.23,0.2,0.18,0.18,0.2,0.16,0.18,0.11,0.09,0.11,0.14
192,捷運葫洲站(1號出口),內湖區,121.607955,25.072485,0.25,0.16,0.18,0.23,0.3,0.3,0.25,0.25,0.23,0.34,0.34,0.23
193,舊莊區民活動中心,南港區,121.61935,25.041277,0.47,0.25,0.22,0.33,0.36,0.28,0.25,0.08,0.22,0.19,0.19,0.25
194,市民林森路口,中山區,121.524388,25.047958,0.72,0.78,0.78,0.84,0.71,0.62,0.67,0.81,0.81,0.85,0.79,0.46
195,信義杭州路口(中華電信總公司),中正區,121.523987,25.035851,0.28,0.3,0.7,0.62,0.5,0.3,0.31,0.52,0.59,0.63,0.65,0.16
196,新湖國小,內湖區,121.589233,25.068744,0.42,0.46,0.38,0.29,0.29,0.21,0.12,0.04,0.12,0.12,0.12,0.04
197,饒河夜市(八德路側),松山區,121.571885,25.049845,0.68,0.5,0.47,0.41,0.35,0.44,0.44,0.47,0.47,0.44,0.56,0.71
201,東陽公園,南港區,121.597924,25.057164,0.27,0.34,0.48,0.55,0.45,0.43,0.45,0.36,0.32,0.5,0.43,0.5
202,捷運關渡站,北投區,121.467336,25.124646,0.48,0.45,0.52,0.33,0.25,0.13,0.08,0.03,0.02,0.27,0.3,0.18
203,古亭國中,萬華區,121.51057,25.024487,0.47,0.45,0.25,0.23,0.17,0.05,0.28,0.3,0.28,0.28,0.07,0.07
204,臺北市立大學(天母校區),士林區,121.53742,25.113625,0.64,0.6,0.48,0.52,0.39,0.49,0.32,0.37,0.41,0.3,0.15,0.05
205,木柵光輝路口,文山區,121.55561,24.988241,0.39,0.32,0.29,0.46,0.36,0.32,0.39,0.43,0.43,0.5,0.5,0.46
206,捷運辛亥站,文山區,121.55716,25.005386,0.1,0.24,0.34,0.41,0.53,0.5,0.59,0.66,0.44,0.47,0.28,0.31
207,福安國中,士林區,121.487477,25.103242,0.17,0.21,0.24,0.24,0.24,0.24,0.21,0.21,0.03,0.03,0.14,0.1
208,龍山國小,萬華區,121.495342,25.035555,0.47,0.36,0.27,0.29,0.22,0.24,0.2,0.16,0.18,0.15,0.07,0.13
209,捷運復興崗站,北投區,121.486071,25.137837,0.24,0.17,0.29,0.41,0.41,0.49,0.43,0.38,0.36,0.4,0.52,0.6
210,樂群二敬業四路口,中山區,121.558135,25.079766,0.57,0.47,0.36,0.67,0.74,0.59,0.48,0.22,0.22,0.31,0.4,0.52
211,星雲金湖街口,內湖區,121.597339,25.080915,0.47,0.28,0.15,0.12,0.12,0.05,0.03,0.03,0.38,0.38,0.28,0.2
212,北安大直街口,中山區,121.549452,25.084223,0.49,0.41,0.49,0.47,0.43,0.47,0.43,0.45,0.45,0.43,0.47,0.57
213,蘭雅國小,士林區,121.523107,25.107782,0.39,0.41,0.03,0.14,0.18,0,0.18,0.25,0.31,0.24,0.21,0.27
214,基河一期國宅,內湖區,121.578645,25.055935,0.2,0.15,0.24,0.22,0.19,0.2,0.19,0.19,0.09,0.09,0.17,0.11
215,捷運北門站(3號出口),大同區,121.510367,25.04993,0.74,0.64,0.44,0.46,0.52,0.58,0.45,0.65,0.63,0.58,0.55,0.08
216,培英公園,中山區,121.544601,25.082553,0.54,0.8,0.88,0.86,0.6,0.54,0.48,0.52,0.8,0.78,0.78,0.52
217,臺北花市,內湖區,121.574267,25.062645,0.4,0.53,0.72,0.95,0.6,0.56,0.59,0.62,0.62,0.59,0.72,0.67
218,松山高中,信義區,121.564108,25.043299,0,0,0,0,0,0,0,0,0,0,0,0
219,大理高中,萬華區,121.49074,25.031147,0.34,0.92,0.79,0.76,0.79,0.47,0.42,0.32,0.26,0.18,0.42,0.08
220,大稻埕公園,大同區,121.510512,25.059162,0.77,0.23,0.57,0.49,0.54,0.26,0.26,0.14,0.06,0.14,0.03,0.14
221,泰和公園,信義區,121.57107,25.019276,0.62,0.42,0.3,0.33,0.15,0.25,0.15,0.15,0.05,0.03,0.15,0.38
222,撫順公園,中山區,121.522065,25.064108,0.24,0.45,0.41,0.45,0.72,0.83,0.38,0.31,0.45,0.55,0.14,0
223,清江國小,北投區,121.507267,25.1274,0.4,0.03,0.72,0.68,0.6,0.33,0.15,0.1,0.12,0,0.05,0.03
224,社正公園,士林區,121.510535,25.088243,0.7,0.6,0.56,0.51,0.5,0.25,0.33,0.33,0.35,0.38,0.42,0.3
225,臥龍樂業街口,大安區,121.554839,25.0186,0.47,0.6,0.35,0.35,0.23,0.54,0.54,0.49,0.18,0.21,0.28,0.51
226,向陽南港路口,南港區,121.594228,25.054365,0.12,0.5,0.75,0.31,0.34,0.31,0.25,0.66,0.66,0.62,0.44,0.75
227,麗山高中,內湖區,121.57668,25.084244,0.72,0.85,0.68,0.42,0.45,0.42,0.38,0.47,0.5,0.35,0.23,0.23
228,捷運萬芳社區站,文山區,121.567474,24.998956,0.7,0.7,0.63,0.5,0.53,0.53,0.57,0.57,0.57,0.5,0.57,0.47
229,市民太原路口,大同區,121.514611,25.049394,0.35,0.5,0.09,0.06,0.09,0.27,0.26,0.32,0.29,0.26,0.18,0.12
230,湖光國宅,內湖區,121.580811,25.075366,0.69,0.43,0.31,0.14,0.14,0.09,0.11,0.17,0.2,0.2,0.4,0.4
231,內政部營建署,松山區,121.545022,25.047805,0.35,0.6,0.42,0.88,0.7,0.6,0.57,0.7,0.75,0.38,0.45,0.23
232,中山天母路口,士林區,121.529738,25.118843,0.23,0,0.02,0.09,0.16,0.16,0.23,0.23,0.23,0.14,0.09,0.02
233,捷運忠義站,北投區,121.474155,25.131411,0.28,0.28,0.26,0.26,0.28,0.26,0.26,0.26,0.22,0.26,0.3,0.24
234,永欣綠地,北投區,121.526071,25.124162,0.82,0.74,0.63,0.53,0.42,0.45,0.42,0.39,0.42,0.47,0.37,0.37
235,市民東興路口,松山區,121.565928,25.04846,0.17,0.2,0.37,0.59,0.23,0.47,0.47,0.1,0.17,0.17,0.37,0.8
236,關渡自然公園,北投區,121.469138,25.119292,0.61,0.42,0.19,0.23,0.14,0.14,0.2,0.14,0.08,0.06,0,0.08
237,文山第二行政中心,文山區,121.551418,25.001149,0.57,0.22,0.42,0.53,0.42,0.37,0.29,0.29,0.29,0.32,0.32,0.34
238,瑞湖陽光街口,內湖區,121.575965,25.073119,0.12,0.12,0.56,0.12,0.25,0.09,0.03,0.45,0.61,0.52,0.16,0.55
239,新明路321巷口,內湖區,121.584098,25.056687,0.2,0.28,0.3,0.24,0.22,0.2,0.2,0.2,0.28,0.23,0.28,0.26
240,南京建國路口,中山區,121.536802,25.052141,0.28,0.43,0.95,0.29,0.45,0.4,0.38,0.38,0.28,0.71,0.72,0.93
241,林口公園,信義區,121.579146,25.038943,0.61,0.66,0.16,0.63,0.61,0.45,0.58,0.74,0.32,0.18,0.47,0.53
242,關渡宮,北投區,121.463161,25.117472,0.1,0.05,0,0.03,0,0.03,0.03,0.03,0.05,0,0.03,0
243,社子公園,士林區,121.506219,25.090202,0.47,0.2,0.13,0.1,0.13,0.13,0.1,0.2,0.1,0.07,0.2,0.33
244,復興市民路口,中山區,121.543736,25.045908,0.39,0.3,0.7,0.87,0.36,0.42,0.51,0.67,0.76,0.71,0.82,0.62
245,捷運中山國中站,中山區,121.544028,25.060632,0.14,0.55,0.09,0.18,0.16,0.14,0,0.02,0,0.25,0.47,0.09
246,國立故宮博物院,士林區,121.548086,25.098743,0.08,0.05,0.05,0.05,0.08,0.08,0.03,0,0.13,0.13,0.08,0
247,木柵公園,文山區,121.560627,24.987144,0.35,0.26,0.26,0.24,0.21,0.24,0.15,0.15,0.06,0.06,0.47,0.41
248,喬治工商,大安區,121.555566,25.027123,0.28,0.31,0.03,0,0.19,0.09,0.06,0.16,0.19,0.25,0.06,0.06
249,中華桂林路口,萬華區,121.506624,25.037706,0.83,0.38,0.38,0.32,0.16,0.45,0.16,0.55,0.74,0.22,0.41,0.38
250,忠孝東路三段217巷口,大安區,121.539873,25.04184,0.56,0.35,0.27,0.12,0.03,0.31,0.57,0.81,0.78,0.11,0.05,0.14
251,華齡公園,士林區,121.520692,25.083023,0.75,0.25,0.06,0.33,0.54,0.29,0.26,0.2,0.14,0,0.23,0.4
252,大安運動中心,大安區,121.545608,25.020544,0.38,0.53,0.53,0.32,0.48,0.36,0.03,0.06,0.18,0.15,0.33,0.58
253,芝山抽水站,士林區,121.52799,25.101423,0.41,0.12,0.59,0.62,0.61,0.55,0.58,0.58,0.61,0.55,0.45,0.7
254,立功立德路口,北投區,121.471482,25.125377,0.15,0.59,0.47,0.47,0.74,0.82,0.71,0.76,0.74,0.68,0.5,0.26
255,光復南路22巷口,松山區,121.557674,25.046914,0.83,0.3,0.63,0.67,0.7,0.4,0.57,0.57,0.7,0.43,0.63,0.37
256,中山中正路口,士林區,121.527526,25.096507,0.38,0.3,0.15,0.17,0.1,0.07,0,0,0,0.07,0,0.17
257,錦德公園,萬華區,121.492637,25.023316,0.44,0.68,0.38,0.38,0.38,0.32,0.33,0.27,0.24,0.3,0.34,0.12
258,聯合醫院中興院區,大同區,121.507979,25.052096,0.12,0.23,0.55,0.7,0.8,0.88,0.8,0.82,0.78,0.55,0.45,0.35
259,南京遼寧街口,中山區,121.542168,25.051761,0.4,0.29,0.06,0.53,0.44,0.32,0.46,0.66,0.63,0.86,0.86,0.69
260,民權瑞光路口,內湖區,121.583991,25.068616,0.19,0.25,0.25,0.28,0.25,0.19,0.17,0.22,0.25,0.36,0.33,0.36
261,健康新城,松山區,121.560928,25.054095,0.75,0.68,0.18,0.05,0.07,0.18,0.09,0.3,0.41,0.45,0.43,0.61
262,永安藝文館-表演36房,文山區,121.569064,24.984144,0.71,0.36,0.32,0.57,0.63,0.52,0.59,0.56,0.48,0.48,0.56,0.59
263,至善臨溪路口,士林區,121.542153,25.097103,0.45,0.5,0.66,0.71,0.74,0.74,0.79,0.76,0.68,0.58,0.37,0.32
264,秀山區民活動中心,北投區,121.493009,25.145936,0.68,0.64,0.57,0.54,0.5,0.5,0.5,0.39,0.57,0.57,0.54,0.54
265,中央北路四段30巷口,北投區,121.478,25.135394,0.2,0.33,0.37,0.3,0.27,0.17,0.2,0.17,0.2,0.27,0.13,0.2
266,洲子一號公園,內湖區,121.564806,25.080258,0.35,0.62,1,0.41,0.38,0.38,0.56,0.65,0.65,0.79,0.76,0.68
267,八德中坡路口,南港區,121.580194,25.05062,0.24,0.16,0.03,0.05,0.34,0.39,0.32,0.34,0.42,0.42,0.39,0.39
268,南港高工,南港區,121.607055,25.056655,0.43,0.5,0.33,0.27,0.13,0.13,0.2,0.33,0.3,0.07,0,0.13
269,三軍總醫院,內湖區,121.590304,25.070723,0.47,0.57,0.63,0.63,0.7,0.67,0.67,0.57,0.53,0.57,0.48,0.3
270,雨農國小,士林區,121.529217,25.105429,0.76,0.38,0.65,0.41,0.26,0.35,0.35,0.38,0.56,0.41,0.53,0.5
271,伊通長安路口,中山區,121.534693,25.048334,0.29,0.46,1,0.43,0.57,0.54,0.61,0.89,1,0.5,0.36,0.5
272,忠順區民活動中心,文山區,121.563125,24.984707,0.56,0.34,0.38,0.38,0.31,0.34,0.25,0.19,0.16,0.16,0.09,0
273,芝山國小,士林區,121.535954,25.110437,0.53,0,0.61,0.55,0.63,0.63,0.66,0.74,0.68,0.61,0.76,0.16
274,扶輪親恩公園,內湖區,121.579833,25.066997,0.35,0.09,0.06,0.09,0.09,0.03,0,0,0.53,0.47,0.47,0.41
275,西本願寺廣場,萬華區,121.507688,25.040988,0.74,0.74,0.84,0.53,0.61,0.42,0.46,0.53,0.61,0.57,0.61,0.61
276,三興公園,信義區,121.55932,25.028679,0.55,0.13,0.34,0.21,0.21,0.37,0.37,0.34,0.21,0.24,0.39,0.5
277,中山堂,中正區,121.51025,25.044091,0.41,0.62,0.5,0.62,0.34,0.31,0.47,0.38,0.38,0.26,0.32,0.19
278,明美公園,內湖區,121.586065,25.062557,0.1,0.06,0.45,0.48,0.52,0.52,0.58,0.58,0.61,0.81,0.68,0.55
279,南港車站(興華路),南港區,121.606331,25.053432,0.69,0.44,0.52,0.12,0.21,0.29,0.52,0.23,0.17,0.29,0.31,0.29
280,士林新天地,士林區,121.51732,25.089034,0.71,0.39,0.54,0.48,0.59,0.63,0.7,0.52,0.63,0.48,0.59,0.48
281,松江公園,中山區,121.532725,25.050245,0.41,0.47,0.59,0.75,0.56,0.47,0.06,0.12,0.44,0.28,0.44,0.41
282,富台公園,信義區,121.571999,25.041935,0.6,0.57,0.33,0.69,0.59,0.48,0.47,0.53,0.57,0.37,0.37,0.37
283,中央北路四段540巷口,北投區,121.4677,25.127959,0.31,0.34,0.29,0.26,0.23,0.16,0.19,0.19,0.26,0.32,0.13,0.13
284,華聲公園,士林區,121.522096,25.096166,0.28,0.19,0.19,0.31,0.31,0.21,0.28,0.14,0.05,0.09,0.02,0.05
285,螢橋國小,中正區,121.51377,25.025966,0.23,0.62,0.28,0.4,0.35,0.5,0.38,0.42,0.4,0.53,0.62,0.65
286,德明財經科技大學,內湖區,121.565713,25.086372,0.15,0.03,0.03,0.21,0.21,0.24,0.24,0.18,0.24,0.21,0.12,0.21
287,第二果菜批發市場,中山區,121.538264,25.067558,0.63,0.6,0.29,0.29,0.29,0.23,0.34,0.46,0.14,0.31,0.29,0.29
288,濟南紹興路口,中正區,121.524591,25.041928,0.11,0.13,0.49,0.44,0.48,0.47,0.42,0.5,0.45,0.45,0.23,0.15
289,牯嶺公園,中正區,121.518835,25.023377,0.03,0.42,0.18,0.37,0.03,0,0.44,0.47,0.47,0.53,0.33,0.22
290,新生公園,中山區,121.530188,25.068387,0.08,0.04,0,0.04,0.15,0,0.08,0.12,0.04,0.08,0,0.08
291,捷運松山站(3號出口),松山區,121.577459,25.049616,0.64,0.28,0.12,0,0.26,0.38,0.54,0.66,0.5,0.62,0.28,0.38
292,合心廣場,南港區,121.582848,25.046361,0.4,0.28,0.38,0.55,0.53,0.4,0.38,0.28,0.42,0.47,0.53,0.42
293,自來水園區,中正區,121.530037,25.013284,0.28,0.7,0.7,0.62,0.44,0.49,0.4,0.45,0.68,0.62,0.55,0.23
294,朱崙商場,中山區,121.540431,25.047617,0.06,0.03,0.92,0.69,0.69,0.86,0.64,0.53,0.5,0.56,0.67,0.36
295,敦親公園,大安區,121.541083,25.023473,0.23,0.42,0.88,0.69,0.27,0.35,0.62,0.73,0.19,0.08,0.16,0.15
296,萬和二號公園,文山區,121.536446,25.001545,0.47,0.5,0.62,0.5,0.56,0.53,0.53,0.56,0.59,0.62,0.09,0.16
297,長沙公園,萬華區,121.499922,25.041702,0.31,0.23,0.19,0.23,0.24,0.28,0.32,0.4,0.44,0.52,0.44,0.4
298,太原五原路口,大同區,121.516976,25.056458,0.59,0.44,0.22,0.28,0.26,0.23,0.26,0.06,0.29,0.32,0.13,0.1
299,萬華國中,萬華區,121.499358,25.029264,0.16,0.39,0.29,0.26,0.19,0.13,0.03,0.16,0.23,0.13,0.13,0.06
300,信義基隆路口,信義區,121.558731,25.033209,0.21,0.07,0.54,0.32,0.43,0.25,0.29,0.39,0.43,0.54,0.5,0.25
301,林森長春路口,中山區,121.525383,25.055062,0.07,0.11,0.46,0.29,0.07,0.14,0.25,0.39,0.21,0,0.07,0.11
302,敦北公園,松山區,121.550711,25.060746,0.5,0.33,0.46,0.42,0.32,0.32,0.38,0.31,0.31,0.36,0.28,0.31
303,安泰街83巷,內湖區,121.617085,25.076691,0.85,0.59,0.33,0.3,0.3,0.19,0.19,0.26,0.26,0.15,0.04,0.04
304,金華公園,大安區,121.531235,25.029902,0.65,0.42,0.19,0.03,0.03,0.1,0,0.1,0.1,0.26,0.16,0.13
305,碧山公園,內湖區,121.592253,25.087413,0.42,0.49,0.02,0,0.02,0.18,0.09,0.09,0.11,0.09,0.18,0.22
306,捷運古亭站(6號出口),大安區,121.52198,25.027781,0.42,0.23,0.1,0.17,0.06,0.04,0.22,0.51,0.32,0.33,0.29,0.04
307,仁愛安和路口,大安區,121.552076,25.03757,0.33,0.07,0.8,0.53,0.63,0.43,0,0.53,0.63,0.63,0.47,0.47
308,西松高中,松山區,121.567127,25.055672,0.66,0.66,0.69,0.41,0.21,0.38,0.17,0,0.47,0.3,0,0
309,三軍總醫院(松山分院),松山區,121.556098,25.05447,0.69,0.72,0.67,0.64,0.61,0.22,0.25,0.28,0.27,0.38,0.22,0.08
310,國立臺北大學(臺北校區),中山區,121.542732,25.057923,0.29,0.06,0.81,0.73,0.73,0.71,0.58,0.68,0.71,0.58,0.13,0.52
311,捷運忠孝新生站(2號出口),中正區,121.532229,25.042392,0.43,0.43,0.67,0.23,0.2,0.23,0.47,0.47,0.48,0.33,0.13,0
312,捷運信義安和站(1號出口),大安區,121.552787,25.033323,0.76,0.24,0.03,0.06,0,0.03,0.15,0.3,0.3,0.12,0.15,0.33
313,光華商場,中正區,121.532738,25.04515,0.45,0.41,0.52,0.58,0.53,0.58,0.67,0.62,0.69,0.81,0.75,0.81
314,敦化長春路口,松山區,121.54872,25.053614,0.21,0.5,0.32,0.62,0.53,0.5,0.24,0.53,0.38,0.38,0.82,0.38
315,捷運萬隆站(1號出口),文山區,121.539037,25.001447,0.44,0.51,0.57,0.63,0.56,0.56,0.63,0.66,0.6,0.6,0.54,0.63
316,民有一號公園,松山區,121.54763,25.060911,0.61,0.45,0.94,0.45,0.64,0.61,0.61,0.82,0.58,0.39,0.3,0.15
317,雙園國中,萬華區,121.491675,25.026823,0.57,0.47,0.47,0.53,0.4,0.33,0.33,0.27,0.13,0.03,0.07,0.33
318,成功金龍路口,內湖區,121.59484,25.084135,0.24,0.41,0.79,0.76,0.76,0.62,0.76,0.52,0.48,0.59,0.52,0.59
319,民族林森路口,中山區,121.525322,25.068507,0.29,0.18,0.26,0.42,0.39,0.37,0.29,0.42,0.47,0.61,0.5,0.61
320,捷運南京三民站(3號出口),松山區,121.564262,25.051287,0.32,0.32,0.04,0.14,0.21,0.29,0.43,0.36,0.32,0.39,0.07,0.04
321,莒光大埔街口,中正區,121.505085,25.031334,0.65,0.55,0.48,0.39,0.32,0.35,0.35,0.29,0.32,0.35,0.32,0.39
322,永盛公園(民生東路一段23巷),中山區,121.52504,25.058835,0.07,0.4,0.47,0.33,0.27,0.23,0.27,0.3,0.37,0.37,0.43,0.6
323,新興公園,中山區,121.524392,25.061568,0.5,0.35,0.23,0.23,0.27,0.31,0.38,0.5,0.58,0.38,0.27,0.12
324,市立圖書館葫蘆堵分館,士林區,121.5108,25.08221,0.62,0.46,0.29,0.21,0.22,0.13,0.35,0.52,0.57,0.43,0.52,0
325,南京東路六段368巷,內湖區,121.58707,25.05827,0.33,0.33,0.38,0.5,0.5,0.53,0.5,0.55,0.55,0.57,0.47,0.28
326,基隆路一段101巷口,信義區,121.56709,25.04525,0.83,0.67,0.93,0.33,0.47,0.33,0.37,0.3,0.27,0.53,0.6,0.41
327,重慶南海路口,中正區,121.51464,25.03158,0.46,0.29,0.88,0.67,0.5,0.38,0.29,0.46,0.71,0.54,0,0.96
328,一江公園,中山區,121.53146,25.05316,0.28,0.42,0.64,0.75,0.75,0.69,0.67,0.5,0.31,0.26,0.31,0
329,樂群二明水路口,中山區,121.55236,25.07983,0.61,0.41,0.68,0.71,0.74,0.88,0.91,1,0.66,0.61,0.44,0.36
330,迪化休閒運動公園,大同區,121.5115,25.07491,0.21,0.18,0.18,0.61,0.71,0.75,0.75,0.68,0.71,0.32,0.29,0.25
331,民族玉門街口,中山區,121.51974,25.06859,0.59,0.44,0.35,0.29,0.35,0.29,0.33,0.27,0.27,0.29,0.26,0.24
332,捷運中山站(2號出口),中山區,121.52193,25.05225,0.42,0.58,0.39,0.42,0.27,0.15,0.42,0.42,0.42,0.27,0.06,0.16
333,復盛公園,松山區,121.561182,25.047428,0.52,0.33,0.04,0.44,0.43,0.39,0.43,0.5,0.5,0.36,0.54,0.61
334,敦化南路二段103巷口,大安區,121.549024,25.028973,0.04,0.17,0.54,0.46,0,0,0.04,0.5,0.12,0.33,0.38,0.42
335,景文中學,文山區,121.567855,24.986301,0.22,0.42,0.43,0.43,0.39,0.39,0.32,0.39,0.35,0.29,0.19,0
336,承德路三段8巷口,大同區,121.51815,25.06382,0.36,0.18,0.71,0.67,0.62,0.75,0.85,0.7,0.75,0.65,0.65,0.38
337,彩虹橋,內湖區,121.57592,25.05301,0.33,0.27,0.17,0.17,0.17,0.13,0.2,0.23,0.17,0.17,0.17,0.3
338,成德國中,南港區,121.58794,25.04573,0.31,0.62,0.19,0.25,0.22,0.16,0.06,0.41,0.38,0.44,0.47,0.47
339,重慶國中,大同區,121.51816,25.07581,0.59,1,0.59,0.44,0.5,0.44,0.03,0.26,0.29,0.24,0,0.03
340,南京光復路口,松山區,121.55716,25.05143,0.18,0.09,1,0.45,0.5,0.68,0.5,0.64,0.5,0.14,0.05,0.14
341,捷運芝山站(1號出口),士林區,121.52243,25.10094,0.27,0.16,0.11,0.05,0,0.42,0.42,0.32,0.32,0.26,0.29,0.32
342,文林建民路口,北投區,121.51468,25.10779,0.7,0.6,0.67,0.6,0.57,0.53,0.57,0.57,0.47,0.5,0.53,0.07
343,忠孝東路六段185巷口,南港區,121.58755,25.04904,0.43,0.7,0.13,0.07,0.13,0.13,0.13,0.17,0.03,0.27,0.43,0.37
344,捷運忠孝復興站(5號出口),大安區,121.54401,25.04264,0.45,0.31,0.05,0.05,0.05,0.1,0.07,0.1,0.33,0.36,0.29,0.43
345,中正運動中心,中正區,121.51943,25.03806,0.44,0.63,0.89,0.74,0.93,0.48,0.59,0.48,0.3,0.33,0.37,0.58
346,陽明高中,士林區,121.51669,25.09157,0.42,0.58,0.69,0.69,0.69,0.67,0.64,0.67,0.61,0.63,0.66,0.43
347,博愛寶慶路口,中正區,121.51135,25.04134,0.5,0.85,0.58,0.62,0.38,0.46,0.54,0.69,0.58,0.69,0.54,0.42
348,民生立體停車場,松山區,121.55945,25.05794,0.58,0.54,0.62,0.42,0.46,0.5,0.21,0.04,0.33,0.29,0.33,0.25
349,重慶酒泉街口,大同區,121.51364,25.07183,0.74,0.39,0.57,0.46,0.43,0.43,0.32,0.25,0.11,0.29,0.21,0.25
350,復興南路二段128巷口,大安區,121.54336,25.02904,0.81,0.36,0.22,0.03,0.29,0.17,0.03,0.17,0.29,0.23,0.14,0.23
351,中山青島路口,中正區,121.51954,25.04469,0.53,0.47,0.29,0.32,0.45,0.42,0.47,0.47,0.5,0.63,0.5,0.39
352,民權迪化街口,大同區,121.50944,25.06318,0.78,0.25,0.22,0.22,0.28,0.28,0.28,0.28,0.25,0.31,0.25,0.31
353,紀州庵,中正區,121.52049,25.02088,0.4,0.5,0.1,0.1,0.13,0.17,0.27,0.13,0.1,0.1,0.03,0.13
354,建國濟南路口,大安區,121.538084,25.040033,0.14,0.21,0.46,0.75,0.64,0.32,0.04,0.07,0.14,0.11,0.14,0.18
355,福山公園,南港區,121.61759,25.04478,0.38,0.38,0.5,0.71,0.59,0.71,0.59,0.56,0.32,0.29,0.5,0.29
356,臺北市網球中心,內湖區,121.59749,25.0674,0.16,0.12,0.03,0.03,0.03,0.09,0.16,0.22,0.16,0.09,0.06,0
357,松友公園,信義區,121.57636,25.03423,0.46,0.35,0.31,0.35,0.69,0.69,0.73,0.58,0.35,0.23,0.12,0.72
358,新明成功路口,內湖區,121.5911,25.06058,0.47,0.27,0.17,0.14,0.11,0.55,0.52,0.52,0.46,0.46,0.32,0.29
359,健安新城,松山區,121.56358,25.05601,0.74,0.26,0.26,0.03,0.32,0.29,0.06,0.12,0.03,0.15,0.35,0.21
360,民權建國路口,中山區,121.53754,25.06252,0.32,0.16,0.49,0.53,0.72,0.7,0.6,0.63,0.53,0.3,0.4,0.16
361,振興醫院,北投區,121.5222,25.1177,0.34,0.91,0.5,0.77,0.74,0.87,0.87,0.84,0.65,0.55,0.23,0.1
362,和平金山路口,大安區,121.52533,25.02672,0.24,0.1,0.03,0.1,0.13,0.13,0.1,0.03,0.03,0.03,0,0.07
363,復興南路一段340巷口,大安區,121.5435,25.03617,0.41,0.19,0.75,0.38,0.41,0.34,0.19,0.19,0.47,0.47,0.66,0.19
364,嘉興公園,大安區,121.55219,25.02109,0.55,0.24,0.26,0.82,0.63,0.5,0.45,0.5,0.18,0.03,0.05,0.13
365,陽明大學,北投區,121.51223,25.11912,0.62,0.5,0.7,0.62,0.64,0.64,0.7,0.72,0.78,0.74,0.6,0.48
366,碧湖公園,內湖區,121.58287,25.07988,0.24,0.21,0.21,0.19,0.12,0.07,0.05,0.07,0.07,0.07,0.07,0.02
367,豐年公園,北投區,121.497019,25.13597,0.57,0.13,0,0.2,0.17,0.03,0.07,0.17,0.17,0.07,0.28,0.41
368,臺灣戲曲中心,士林區,121.51979,25.10208,0.2,0.27,0.34,0.34,0.34,0.34,0.32,0.27,0.28,0.19,0.28,0.05
369,世新大學,文山區,121.54361,24.98862,0.5,0.47,0.53,0.59,0.59,0.32,0.47,0.47,0.53,0.38,0.47,0.47
370,新和國小,萬華區,121.50242,25.02656,0.46,0.04,0.61,0.57,0.64,0.43,0.5,0.36,0.21,0.29,0.22,0.19
371,南門國中,中正區,121.50834,25.03532,0.26,0.39,0.53,0.55,0.55,0.47,0.42,0.29,0.29,0.37,0.24,0.26
372,重慶民族路口,大同區,121.51359,25.06825,0.54,0.5,0.15,0.31,0.23,0.19,0.27,0.42,0.08,0.12,0.15,0
373,中崙福成宮,松山區,121.546635,25.04525,0.59,0.72,0.59,0.47,0.41,0.31,0.28,0.22,0.25,0.28,0.38,0.28
374,麗湖國小,內湖區,121.602225,25.073322,0.29,0.29,0.35,0.41,0.35,0.29,0.26,0.35,0.35,0.35,0.35,0.44
375,銘傳大學,士林區,121.526766,25.087714,0.38,0.38,0.38,0.4,0.43,0.56,0.52,0.6,0.56,0.52,0.4,0.36
376,民生建國路口,中山區,121.536915,25.057778,0.25,0.17,0.47,0.72,0.78,0.86,0.86,0.89,0.8,0.83,0.94,0.71
377,南港路二段178巷口,南港區,121.599693,25.053675,0.24,0.28,0.45,0.36,0.32,0.36,0.18,0.23,0.17,0.13,0.3,0.23
378,陽光街321巷口,內湖區,121.578691,25.073193,0.14,0.59,0.24,0.45,0.45,0.48,0.41,0.59,0.41,0.31,0.07,0.31
379,春光公園,信義區,121.580762,25.042619,0.82,0.74,0.61,0.66,0.5,0.63,0.61,0.47,0.53,0.55,0.29,0.26
380,塔悠疏散門,松山區,121.567899,25.064713,0.28,0.24,0.17,0.17,0.28,0.31,0.24,0.34,0.38,0.34,0.37,0.43
381,民權東路六段15巷,內湖區,121.578125,25.06853,0.2,0.33,0.3,0.43,0.47,0.5,0.37,0.27,0.34,0.59,0.57,0.57
