sno,sna,sarea,lng,lat,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
1,捷運市政府站(3號出口),信義區,121.5679044,25.04085789,74,64,33,41,50,57,62,71,99,131,125,130,112,90,50,1,0,0
2,捷運國父紀念館站(2號出口),大安區,121.55742,25.041254,26,14,5,11,17,1,2,6,8,8,13,9,22,30,16,26,3,0
3,台北市政府,信義區,121.5651694,25.03779722,13,11,38,31,37,25,21,20,24,21,33,25,13,34,28,13,6,1
4,市民廣場,信義區,121.562325,25.03603611,27,30,37,36,36,32,33,35,34,36,41,46,33,30,30,21,17,17
5,興雅國中,信義區,121.5686639,25.03656389,16,44,7,14,33,31,6,24,26,20,20,9,25,14,17,21,2,0
6,臺北南山廣場,信義區,121.565973,25.034047,19,19,46,60,65,68,70,70,68,68,67,64,29,12,2,3,1,2
7,信義廣場(台北101),信義區,121.5656194,25.03303889,18,22,51,52,50,26,14,12,29,37,32,30,5,18,18,0,1,10
8,世貿三館,信義區,121.5636889,25.03521389,22,30,35,43,43,46,44,47,46,51,48,41,40,42,29,11,2,1
9,松德站,信義區,121.57448,25.031785,27,30,14,13,9,13,11,23,27,22,6,0,2,4,12,18,21,22
10,台北市災害應變中心,信義區,121.5661167,25.02866111,39,40,37,33,27,27,34,31,25,30,23,6,24,38,25,32,39,35
11,三張犁,信義區,121.55762,25.034937,57,23,11,10,10,9,19,15,15,10,14,10,9,12,26,51,54,59
12,臺北醫學大學,信義區,121.561747,25.026679,13,18,13,15,18,20,22,26,26,44,29,11,9,27,4,6,7,16
13,福德公園,信義區,121.58367,25.03809,19,35,7,19,22,26,29,24,29,25,30,31,46,12,17,23,32,26
14,榮星花園,中山區,121.54037,25.06424,12,23,18,7,8,8,9,5,0,4,3,17,4,25,5,26,9,13
15,饒河夜市,松山區,121.571885,25.049845,42,32,36,28,26,25,27,32,16,19,13,14,16,34,34,34,44,51
16,松山家商,信義區,121.579135,25.036084,33,44,33,37,31,27,27,24,21,1,1,1,6,13,21,28,34,37
17,民生光復路口,松山區,121.55514,25.05862,14,29,21,15,17,17,7,12,12,6,14,10,17,25,21,20,24,26
18,臺北市藝文推廣處,松山區,121.552278,25.048268,15,14,6,30,27,15,12,22,20,20,12,29,20,14,11,5,12,13
19,象山公園,信義區,121.56981,25.02863,9,5,25,17,22,19,20,28,21,21,16,10,15,1,8,8,4,1
20,捷運科技大樓站,大安區,121.543293,25.025896,59,52,5,31,5,31,45,50,41,52,47,55,28,12,22,11,31,32
21,民生敦化路口,松山區,121.548982,25.057985,15,20,37,35,36,27,24,32,35,34,28,37,6,31,17,14,12,17
22,松山車站,信義區,121.57845,25.048824,22,18,10,9,25,33,16,20,16,11,13,18,26,24,36,11,13,6
23,東新國小,南港區,121.602798,25.055074,16,27,12,6,5,4,2,4,3,1,3,6,7,16,4,15,25,22
24,信義建國路口,大安區,121.53747,25.03293,24,25,8,0,23,20,2,0,6,18,7,0,5,7,5,27,24,26
25,永吉松信路口,信義區,121.57205,25.04543,24,12,2,23,15,7,1,12,6,10,13,6,18,19,30,21,28,11
26,捷運昆陽站(1號出口),南港區,121.592375,25.050142,32,38,30,20,19,22,22,16,21,19,31,17,11,7,20,18,11,11
27,捷運南港展覽館站(5號出口),南港區,121.61669,25.05469,15,31,14,15,12,17,10,13,11,17,12,25,26,13,6,18,1,10
28,五常公園,信義區,121.57467,25.04814,10,12,2,1,1,2,3,6,7,11,14,14,25,25,8,12,21,23
29,金山愛國路口,大安區,121.52655,25.03164,12,31,46,51,33,26,24,27,26,40,32,3,8,4,2,0,8,8
30,基隆長興路口,大安區,121.544352,25.017054,45,42,41,33,30,55,45,42,46,38,55,15,10,16,35,27,41,60
31,辛亥新生路口,大安區,121.53456,25.022413,20,12,8,2,8,8,10,4,4,16,7,8,22,9,21,0,12,17
32,捷運六張犁站,大安區,121.553161,25.023884,31,33,4,0,16,7,8,7,4,14,5,26,34,21,13,9,24,12
33,中崙高中,松山區,121.56087,25.04878,20,18,25,29,29,34,31,37,35,36,24,11,14,14,10,5,12,16
34,捷運行天宮站(1號出口),中山區,121.532934,25.058369,14,11,9,10,9,7,4,9,7,3,10,14,6,19,14,10,8,19
35,捷運行天宮站(3號出口),中山區,121.533302,25.059978,22,30,14,7,6,13,12,8,8,16,7,4,26,24,14,26,19,13
36,臺大資訊大樓,大安區,121.54153,25.02101,16,14,31,47,17,21,23,63,62,63,46,24,51,43,35,27,11,8
37,捷運東門站(4號出口),大安區,121.528988,25.0337,33,24,11,2,21,13,24,0,3,6,18,22,7,27,41,26,22,19
