sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318
65,青年公園3號出口,萬華區,121.502708,25.022725,13,1,20,16,14,19,24,32,15,14,8,14
66,師範大學公館校區,文山區,121.537188,25.007528,15,26,24,24,22,6,7,7,12,20,34,26
67,捷運臺大醫院(4號出口),中正區,121.516428,25.042973,25,8,15,20,14,15,20,35,30,27,25,33
68,國興青年路口,萬華區,121.506536,25.025865,19,3,8,12,14,15,19,16,11,11,5,25
69,興豐公園,文山區,121.547778,24.999837,25,22,17,10,16,17,13,13,12,10,7,13
70,捷運台北101/世貿站,信義區,121.561645,25.032752,38,35,34,33,27,29,24,30,20,21,15,22
71,捷運信義安和站(4號出口),大安區,121.554204,25.032985,22,13,1,2,3,6,8,9,8,7,14,6
72,新生長安路口,中山區,121.529346,25.048611,7,0,4,2,2,1,3,1,2,3,0,8
73,酒泉延平路口,大同區,121.510195,25.072228,5,8,20,19,17,17,17,19,21,23,22,12
74,信義連雲街口,中正區,121.530547,25.033817,32,25,19,13,8,5,3,4,0,1,3,7
75,基隆光復路口,信義區,121.557635,25.0300508,18,25,28,23,30,16,21,22,7,0,7,14
76,新生長春路口,中山區,121.527522,25.056387,21,27,23,21,16,16,19,20,22,17,18,5
77,民生活動中心,松山區,121.56297,25.059147,16,21,26,25,20,17,17,18,17,22,12,17
78,捷運圓山站(2號出口),大同區,121.519287,25.071824,17,22,34,20,14,29,33,32,23,34,33,29
79,捷運民權西路站(3號出口),大同區,121.520205,25.061285,15,16,16,16,17,12,4,13,17,21,14,12
80,華江高中,萬華區,121.495869,25.02751,9,16,30,37,21,43,33,27,30,34,28,15
81,捷運台電大樓站(2號出口),大安區,121.528552,25.020547,15,3,2,0,9,5,8,9,14,23,13,32
82,捷運西門站(3號出口),中正區,121.508693,25.041778,27,23,17,18,22,19,25,27,16,21,8,9
83,捷運大安森林公園站,大安區,121.535161,25.033156,53,20,17,3,13,12,10,60,69,70,62,56
84,復華花園新城,萬華區,121.502899,25.029705,25,24,11,26,22,21,24,19,19,20,22,21
85,信義敦化路口,大安區,121.54911,25.033362,18,16,22,9,4,13,13,13,14,25,24,18
86,民權復興路口,松山區,121.545138,25.062344,9,1,6,9,8,9,9,7,6,8,8,8
87,捷運大安站,大安區,121.543057,25.033078,8,1,4,2,2,1,4,5,1,1,0,12
