sno,sna,sarea,lng,lat,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724
1,捷運市政府站(3號出口),信義區,121.5679044,25.04085789,66,56,36,75,90,115,115,147,155,124,112,103,97,95,97,18,52,22
2,捷運國父紀念館站(2號出口),大安區,121.55742,25.041254,32,20,17,6,10,26,37,38,17,14,2,25,25,17,8,16,3,7
3,台北市政府,信義區,121.5651694,25.03779722,15,8,11,16,20,20,15,16,13,23,20,16,26,32,25,2,21,8
4,市民廣場,信義區,121.562325,25.03603611,33,36,38,37,39,43,44,46,48,50,48,37,34,29,24,12,7,12
5,興雅國中,信義區,121.5686639,25.03656389,13,17,27,32,23,44,31,26,32,40,19,21,19,33,34,16,33,6
6,臺北南山廣場,信義區,121.565973,25.034047,11,12,14,26,34,46,56,54,65,61,41,43,48,41,40,26,16,15
7,信義廣場(台北101),信義區,121.5656194,25.03303889,18,22,12,10,31,76,67,59,59,64,56,54,54,40,9,2,16,9
8,世貿三館,信義區,121.5636889,25.03521389,13,18,23,28,40,45,41,46,48,47,41,35,26,23,17,11,1,15
9,松德站,信義區,121.57448,25.031785,30,31,22,13,9,1,0,18,20,14,13,10,13,14,19,21,23,23
10,台北市災害應變中心,信義區,121.5661167,25.02866111,20,35,35,33,21,6,6,18,12,1,5,13,3,8,14,25,30,47
11,三張犁,信義區,121.55762,25.034937,49,26,35,30,24,22,12,9,11,8,16,13,17,16,15,16,36,42
12,臺北醫學大學,信義區,121.561747,25.026679,11,19,17,21,26,11,21,8,8,11,9,5,1,3,8,10,13,24
13,福德公園,信義區,121.58367,25.03809,26,49,43,43,43,38,36,34,25,26,22,0,4,11,28,21,30,21
14,榮星花園,中山區,121.54037,25.06424,24,21,23,13,25,13,10,6,11,6,6,9,23,4,12,25,7,26
15,饒河夜市,松山區,121.571885,25.049845,40,36,32,34,36,35,40,33,32,31,26,35,30,32,36,33,40,45
16,松山家商,信義區,121.579135,25.036084,25,20,16,13,11,8,9,6,7,9,1,5,5,5,13,23,43,42
17,民生光復路口,松山區,121.55514,25.05862,18,15,12,8,7,16,18,20,23,23,30,29,27,30,17,17,20,25
18,臺北市藝文推廣處,松山區,121.552278,25.048268,20,26,19,11,18,24,16,17,35,35,21,17,17,18,19,11,12,15
19,象山公園,信義區,121.56981,25.02863,13,20,12,17,16,17,6,0,3,25,21,26,21,8,24,18,6,2
