sno,sna,sarea,lng,lat,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624
45,捷運公館站(2號出口),大安區,121.534538,25.01476,8,6,11,2,17,4,10,8,17,12,25,8,18,5,4,22,3,9
46,南港國小,南港區,121.611027,25.05646,21,19,18,20,22,21,18,17,18,9,8,7,10,6,9,13,13,17
47,捷運忠孝新生站(3號出口),大安區,121.533862,25.041924,16,20,20,17,24,12,8,10,5,7,10,5,10,5,0,0,4,6
48,南港車站(忠孝東路),南港區,121.608202,25.05247,11,14,11,11,9,10,9,6,7,17,18,25,20,22,19,16,19,14
49,龍門廣場,大安區,121.548252,25.040901,16,19,29,2,12,24,31,12,18,22,36,5,16,13,2,13,17,38
50,民權運動公園,松山區,121.560186,25.062002,24,24,21,23,23,26,29,30,33,30,33,30,16,16,21,19,25,23
51,建國農安街口,中山區,121.536775,25.065031,23,22,20,21,28,20,21,18,13,11,12,7,9,9,8,2,26,29
52,建國長春路口,中山區,121.536925,25.054761,11,5,10,11,12,5,4,7,2,3,2,8,9,16,13,19,14,17
53,八德市場,中山區,121.536609,25.044781,16,19,18,5,1,9,2,8,16,15,12,9,12,10,6,3,5,3
54,臺北市立圖書館(總館),大安區,121.538073,25.028798,16,11,10,15,17,5,29,15,18,1,0,3,5,11,11,18,19,24
55,臺北田徑場,松山區,121.549408,25.049505,7,8,4,6,3,9,10,11,23,20,10,7,18,22,10,0,16,14
56,仁愛林森路口,中正區,121.522334,25.038954,8,13,29,30,17,12,14,31,36,21,19,13,12,3,9,3,9,7
57,新生和平路口,大安區,121.53519,25.026217,22,24,30,27,14,12,7,32,39,30,27,16,17,21,9,7,26,29
58,捷運善導寺站(1號出口),中正區,121.5222,25.045267,9,4,19,20,24,34,32,23,20,17,16,7,24,20,17,16,19,19
59,林森公園,中山區,121.525805,25.052227,16,14,13,15,12,18,19,14,14,8,11,18,11,9,10,14,10,6
60,中山行政中心,中山區,121.533487,25.064317,11,11,12,13,13,12,11,15,15,19,22,12,13,9,15,25,20,29
61,台灣科技大學,大安區,121.539723,25.0131,18,30,34,12,6,7,11,11,9,35,17,15,1,15,16,5,26,28
62,南昌公園,中正區,121.520258,25.026827,2,2,15,24,22,20,28,30,15,16,22,20,26,23,13,12,5,0
63,仁愛醫院,大安區,121.545632,25.037569,14,26,24,6,15,20,20,9,8,16,28,23,18,6,7,1,2,9
64,國家圖書館,中正區,121.517029,25.037773,14,18,34,29,34,31,33,36,33,37,22,22,17,20,17,6,4,3
65,青年公園3號出口,萬華區,121.502708,25.022725,25,36,25,19,17,13,14,21,19,22,23,1,1,3,6,17,21,27
66,師範大學公館校區,文山區,121.537188,25.007528,15,10,21,12,19,19,14,4,11,8,2,3,12,23,33,17,12,22
67,捷運臺大醫院(4號出口),中正區,121.516428,25.042973,26,24,17,22,17,18,18,12,16,8,37,20,7,37,30,9,7,0
68,國興青年路口,萬華區,121.506536,25.025865,28,21,21,24,22,24,21,26,29,18,9,18,22,20,15,7,19,20
69,興豐公園,文山區,121.547778,24.999837,21,23,19,24,21,14,12,13,15,12,13,16,11,13,7,5,7,15
70,捷運台北101/世貿站,信義區,121.561645,25.032752,40,34,21,28,34,41,43,20,16,2,10,31,22,23,22,22,17,24
71,捷運信義安和站(4號出口),大安區,121.554204,25.032985,29,12,6,26,7,22,27,12,7,11,0,0,22,11,8,5,1,4
72,新生長安路口,中山區,121.529346,25.048611,25,25,20,20,16,13,12,6,2,3,6,3,5,21,22,30,32,33
73,酒泉延平路口,大同區,121.510195,25.072228,11,12,9,9,8,8,4,4,5,5,6,9,5,9,6,11,15,16
74,信義連雲街口,中正區,121.530547,25.033817,11,10,8,1,1,3,1,1,10,12,13,12,16,21,25,31,16,19
75,基隆光復路口,信義區,121.557635,25.0300508,1,10,10,9,8,1,4,5,12,12,10,16,19,13,16,20,19,16
76,新生長春路口,中山區,121.527522,25.056387,21,27,22,3,5,7,13,8,14,9,7,10,8,8,11,13,21,20
77,民生活動中心,松山區,121.56297,25.059147,15,15,13,18,26,24,17,12,12,5,0,11,8,15,16,16,17,16
78,捷運圓山站(2號出口),大同區,121.519287,25.071824,29,36,30,21,18,21,25,20,13,22,7,41,48,50,27,20,0,0
79,捷運民權西路站(3號出口),大同區,121.520205,25.061285,20,23,15,18,20,18,15,24,23,18,13,7,9,6,1,2,4,11
80,華江高中,萬華區,121.495869,25.02751,27,14,16,19,15,17,32,39,32,35,26,16,17,27,15,26,34,32
81,捷運台電大樓站(2號出口),大安區,121.528552,25.020547,30,29,28,12,5,22,20,11,19,6,9,1,25,10,0,24,33,29
82,捷運西門站(3號出口),中正區,121.508693,25.041778,26,29,28,29,35,17,30,23,33,28,20,9,18,26,27,10,2,0
83,捷運大安森林公園站,大安區,121.535161,25.033156,68,66,49,49,43,34,37,34,51,47,50,45,45,31,27,26,10,4
84,復華花園新城,萬華區,121.502899,25.029705,23,23,18,24,18,22,21,19,26,28,25,13,16,16,6,18,16,18
85,信義敦化路口,大安區,121.54911,25.033362,17,26,26,20,22,16,23,23,22,24,24,19,19,24,14,14,15,20
86,民權復興路口,松山區,121.545138,25.062344,30,26,25,26,26,30,27,26,30,16,16,23,22,25,28,17,23,13
87,捷運大安站,大安區,121.543057,25.033078,19,1,12,13,4,9,17,2,4,6,1,10,1,0,7,15,14,7
88,捷運象山站,信義區,121.57087,25.032922,34,38,61,47,25,17,22,24,27,26,34,25,35,41,24,20,13,1
89,和平重慶路口,中正區,121.516385,25.027323,37,36,22,32,28,15,16,8,23,22,19,25,6,2,9,23,28,37
90,老松國小,萬華區,121.501708,25.037783,8,12,5,3,17,17,13,14,13,16,14,11,4,6,4,3,4,10
91,市立美術館,中山區,121.523268,25.070629,19,22,24,18,20,26,24,30,32,22,22,3,22,18,8,19,17,15
92,開封西寧路口,萬華區,121.507169,25.046618,18,19,12,16,8,15,19,8,9,8,6,0,2,1,13,9,9,11
93,吳興公車總站,信義區,121.569836,25.023877,29,15,46,47,45,34,16,21,26,21,15,7,6,6,16,41,15,30
94,捷運景美站,文山區,121.541059,24.993254,13,18,16,27,16,12,22,30,30,21,20,9,33,36,15,29,11,3
95,東園國小,萬華區,121.497679,25.023393,26,26,22,20,22,20,8,12,10,0,0,0,19,1,2,15,28,20
96,三民公園,松山區,121.566558,25.061567,19,20,20,15,13,12,11,9,11,11,5,2,0,6,9,13,21,26
97,捷運劍潭站(2號出口),士林區,121.524721,25.082825,29,27,15,18,37,15,31,31,19,28,25,16,7,44,32,28,6,11
98,羅斯福景隆街口,文山區,121.540197,24.999378,32,33,36,33,28,24,23,24,25,18,14,10,15,16,8,6,6,5
